-- Logs begin at Tue 2019-10-29 00:05:09 UTC, end at Sat 2019-11-02 00:08:31 UTC. --
Nov 01 23:46:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:46:38.678615 I | mvcc: store.index: compact 35525026
Nov 01 23:46:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:46:38.684113 I | mvcc: finished scheduled compaction at 35525026 (took 4.307825ms)
Nov 01 23:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:48:35.830167 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (160.008355ms) to execute
Nov 01 23:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:48:35.857604 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jdkcf\" " with result "range_response_count:1 size:1121" took too long (166.097727ms) to execute
Nov 01 23:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:48:36.079758 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bvcbs\" " with result "range_response_count:1 size:1121" took too long (169.005102ms) to execute
Nov 01 23:51:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:51:38.788972 I | mvcc: store.index: compact 35525760
Nov 01 23:51:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:51:38.791766 W | etcdserver: request "header:<ID:14919139277657750683 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:35525760 > " with result "size:7" took too long (103.272714ms) to execute
Nov 01 23:51:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:51:38.798912 I | mvcc: finished scheduled compaction at 35525760 (took 7.294717ms)
Nov 01 23:54:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:54:21.250856 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hj6gt\" " with result "range_response_count:1 size:1634" took too long (130.405251ms) to execute
Nov 01 23:55:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:55:12.195407 I | etcdserver: start to snapshot (applied: 39224855, lastsnap: 39214854)
Nov 01 23:55:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:55:12.274861 I | etcdserver: saved snapshot at index 39224855
Nov 01 23:55:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:55:12.275715 I | etcdserver: compacted raft log at 39219855
Nov 01 23:55:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:55:34.425952 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000255c2c2.snap successfully
Nov 01 23:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:55:36.456535 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (128.519283ms) to execute
Nov 01 23:56:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:56:38.808390 I | mvcc: store.index: compact 35526398
Nov 01 23:56:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:56:38.813305 I | mvcc: finished scheduled compaction at 35526398 (took 3.800304ms)
Nov 02 00:01:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 00:01:38.832109 I | mvcc: store.index: compact 35526988
Nov 02 00:01:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 00:01:38.838401 I | mvcc: finished scheduled compaction at 35526988 (took 4.25354ms)
Nov 02 00:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 00:06:25.050599 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.479814537s) to execute
Nov 02 00:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 00:06:25.050683 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (135.729891ms) to execute
Nov 02 00:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 00:06:25.051012 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.755653341s) to execute
Nov 02 00:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 00:06:25.051140 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (1.666262048s) to execute
Nov 02 00:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 00:06:25.051377 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (1.104293238s) to execute
