-- Logs begin at Fri 2019-11-01 06:45:16 UTC, end at Mon 2019-11-04 00:08:03 UTC. --
Nov 03 23:46:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:46:14.921067 N | compactor: Starting auto-compaction at revision 35890301
Nov 03 23:46:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:46:14.921409 N | compactor: Finished auto-compaction at revision 35890301
Nov 03 23:47:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:47:26.688354 I | mvcc: store.index: compact 35968896
Nov 03 23:47:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:47:26.695078 I | mvcc: finished scheduled compaction at 35968896 (took 5.757529ms)
Nov 03 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:47:29.305968 W | etcdserver: request "header:<ID:14919139277659612819 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-9rqw4.15d3cbddfc3e2351\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-9rqw4.15d3cbddfc3e2351\" value_size:392 lease:5695767240804836980 >> failure:<>>" with result "size:20" took too long (131.457988ms) to execute
Nov 03 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:47:29.328056 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9rqw4\" " with result "range_response_count:1 size:1121" took too long (141.03392ms) to execute
Nov 03 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:47:29.543614 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (170.922377ms) to execute
Nov 03 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:47:29.543953 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-95zpw\" " with result "range_response_count:1 size:1121" took too long (174.355664ms) to execute
Nov 03 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:47:29.570747 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3cbc214d17b5d\" " with result "range_response_count:1 size:485" took too long (168.698153ms) to execute
Nov 03 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:47:29.571073 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f2v8q\" " with result "range_response_count:1 size:1121" took too long (173.652839ms) to execute
Nov 03 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:47:29.776384 W | etcdserver: request "header:<ID:14919139277659612861 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d3cbc214d17b5d\" mod_revision:35969761 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d3cbc214d17b5d\" value_size:386 lease:5695767240804836980 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d3cbc214d17b5d\" > >>" with result "size:20" took too long (130.57783ms) to execute
