-- Logs begin at Fri 2019-11-01 06:45:16 UTC, end at Mon 2019-11-04 06:02:25 UTC. --
Nov 04 05:41:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:41:17.797916 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1476" took too long (154.322263ms) to execute
Nov 04 05:41:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:41:29.332696 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (183.775108ms) to execute
Nov 04 05:41:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:41:32.214425 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (111.302815ms) to execute
Nov 04 05:42:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:42:32.482164 I | mvcc: store.index: compact 36027589
Nov 04 05:42:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:42:32.491497 I | mvcc: finished scheduled compaction at 36027589 (took 7.502494ms)
Nov 04 05:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:42:40.301168 W | etcdserver: request "header:<ID:14919139277659844062 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-rpvtf\" mod_revision:36029259 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-rpvtf\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-rpvtf\" > >>" with result "size:20" took too long (128.577679ms) to execute
Nov 04 05:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:42:40.302117 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3df15f2649fbf\" " with result "range_response_count:1 size:485" took too long (138.055275ms) to execute
Nov 04 05:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:42:40.323221 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-67qrm\" " with result "range_response_count:1 size:1121" took too long (142.591516ms) to execute
Nov 04 05:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:42:40.527365 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3df15f2649fbf\" " with result "range_response_count:1 size:485" took too long (142.346438ms) to execute
Nov 04 05:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:42:40.528503 W | etcdserver: request "header:<ID:14919139277659844089 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-nhf4p.15d3df3fdf50f326\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-nhf4p.15d3df3fdf50f326\" value_size:389 lease:5695767240805068226 >> failure:<>>" with result "size:20" took too long (124.111823ms) to execute
Nov 04 05:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 05:42:40.544110 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l5lbn\" " with result "range_response_count:1 size:1121" took too long (158.55176ms) to execute
