-- Logs begin at Fri 2020-01-31 15:46:29 UTC, end at Sun 2020-02-02 02:47:33 UTC. --
Feb 02 02:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:28.843848 N | compactor: Starting auto-compaction at revision 53245659
Feb 02 02:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:28.844243 N | compactor: Finished auto-compaction at revision 53245659
Feb 02 02:24:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:30.019897 I | mvcc: store.index: compact 53330597
Feb 02 02:24:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:30.029641 I | mvcc: finished scheduled compaction at 53330597 (took 6.983769ms)
Feb 02 02:24:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:30.241028 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (118.227827ms) to execute
Feb 02 02:24:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:30.241065 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.networking.k8s.io\" " with result "range_response_count:1 size:644" took too long (117.873738ms) to execute
Feb 02 02:24:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:30.241198 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (119.303257ms) to execute
Feb 02 02:24:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:30.241298 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (117.759914ms) to execute
Feb 02 02:24:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:30.241372 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta2.autoscaling\" " with result "range_response_count:1 size:640" took too long (120.017522ms) to execute
Feb 02 02:24:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:37.732248 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (142.677706ms) to execute
Feb 02 02:24:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:37.733098 W | etcdserver: request "header:<ID:14919139277751839745 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-5qmgv.15ef74ac4bed4462\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-5qmgv.15ef74ac4bed4462\" value_size:392 lease:5695767240897063923 >> failure:<>>" with result "size:20" took too long (129.741942ms) to execute
Feb 02 02:24:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:37.733363 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (136.709344ms) to execute
Feb 02 02:24:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:37.733688 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (136.764341ms) to execute
Feb 02 02:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:53.076494 W | etcdserver: request "header:<ID:14919139277751839888 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-mrnsg\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-mrnsg\" value_size:976 >> failure:<>>" with result "size:20" took too long (121.982988ms) to execute
Feb 02 02:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:53.322847 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mrnsg\" " with result "range_response_count:1 size:1118" took too long (181.618148ms) to execute
Feb 02 02:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:53.322940 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rhlwf\" " with result "range_response_count:1 size:1121" took too long (175.180036ms) to execute
Feb 02 02:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:53.323465 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (183.217265ms) to execute
Feb 02 02:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:53.323592 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w8zm7\" " with result "range_response_count:1 size:1121" took too long (175.350688ms) to execute
Feb 02 02:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:53.323701 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (183.307785ms) to execute
Feb 02 02:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:53.323806 W | etcdserver: request "header:<ID:14919139277751839916 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-9jdhz\" mod_revision:53331392 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-9jdhz\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-9jdhz\" > >>" with result "size:20" took too long (137.557754ms) to execute
Feb 02 02:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:53.324768 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (161.933065ms) to execute
Feb 02 02:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:53.541040 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7plhg\" " with result "range_response_count:1 size:1118" took too long (135.805905ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.302786 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gmhls\" " with result "range_response_count:1 size:1121" took too long (124.934733ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.303069 W | etcdserver: request "header:<ID:14919139277751841132 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-b7px9\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-b7px9\" value_size:976 >> failure:<>>" with result "size:20" took too long (122.607062ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.324902 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lbgbb\" " with result "range_response_count:1 size:1121" took too long (146.844522ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.326004 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef74aff94d1c68\" " with result "range_response_count:1 size:485" took too long (146.473633ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.326193 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pc6qr\" " with result "range_response_count:1 size:1121" took too long (147.552813ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.529555 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wvvs4\" " with result "range_response_count:1 size:1121" took too long (155.820898ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.529598 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b7px9\" " with result "range_response_count:1 size:1121" took too long (155.863193ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.529704 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef74aff94d1c68\" " with result "range_response_count:1 size:485" took too long (164.675183ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.560163 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rqq2d\" " with result "range_response_count:1 size:1118" took too long (159.785573ms) to execute
Feb 02 02:27:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:08.748132 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef74aff94d1c68\" " with result "range_response_count:1 size:485" took too long (125.368843ms) to execute
Feb 02 02:27:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:21.135649 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (170.095878ms) to execute
Feb 02 02:27:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:21.135864 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (223.231223ms) to execute
Feb 02 02:27:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:27:21.135996 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (223.484451ms) to execute
Feb 02 02:29:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:29:30.038739 I | mvcc: store.index: compact 53331311
Feb 02 02:29:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:29:30.045006 I | mvcc: finished scheduled compaction at 53331311 (took 4.701344ms)
Feb 02 02:34:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:30.056578 I | mvcc: store.index: compact 53332180
Feb 02 02:34:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:30.062698 I | mvcc: finished scheduled compaction at 53332180 (took 4.591826ms)
Feb 02 02:34:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:30.361989 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.apps\" " with result "range_response_count:1 size:605" took too long (246.627332ms) to execute
Feb 02 02:34:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:30.362763 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (246.624114ms) to execute
Feb 02 02:34:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:30.362998 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (247.383933ms) to execute
Feb 02 02:34:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:30.363477 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (246.647697ms) to execute
Feb 02 02:34:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:30.363790 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (246.850267ms) to execute
Feb 02 02:34:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:30.364160 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (160.491316ms) to execute
Feb 02 02:34:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:36.428083 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (195.494842ms) to execute
Feb 02 02:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:51.497920 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (271.334673ms) to execute
Feb 02 02:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:34:51.498319 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (132.622483ms) to execute
Feb 02 02:35:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:35:06.185950 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (448.864099ms) to execute
