-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 06:54:04 UTC. --
Nov 02 06:32:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:32:04.878065 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/00000000000004fd-0000000002555476.wal successfully
Nov 02 06:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:32:23.501965 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (121.926323ms) to execute
Nov 02 06:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:32:44.276446 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (110.573143ms) to execute
Nov 02 06:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:38.588353 W | etcdserver: request "header:<ID:14919139277658027954 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-ds9cl\" mod_revision:35595746 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-ds9cl\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-ds9cl\" > >>" with result "size:20" took too long (128.8254ms) to execute
Nov 02 06:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:38.589080 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d344bf64da0f49\" " with result "range_response_count:1 size:485" took too long (143.828095ms) to execute
Nov 02 06:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:38.606882 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tq24j\" " with result "range_response_count:1 size:1121" took too long (156.545079ms) to execute
Nov 02 06:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:38.821623 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-j7n62\" " with result "range_response_count:1 size:1121" took too long (158.51529ms) to execute
Nov 02 06:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:38.823166 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jzrsl\" " with result "range_response_count:1 size:1118" took too long (150.592123ms) to execute
Nov 02 06:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:38.854112 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d344bf64da0f49\" " with result "range_response_count:1 size:485" took too long (164.805407ms) to execute
Nov 02 06:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:38.854478 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (165.262959ms) to execute
Nov 02 06:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:38.854760 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4rsxk\" " with result "range_response_count:1 size:1121" took too long (163.408996ms) to execute
Nov 02 06:33:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:41.047109 W | etcdserver: request "header:<ID:14919139277658028071 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:35595834 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:2160 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (122.391889ms) to execute
Nov 02 06:33:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:41.062471 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-x99xp\" " with result "range_response_count:1 size:1502" took too long (121.675413ms) to execute
Nov 02 06:33:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:44.720516 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (258.554278ms) to execute
Nov 02 06:33:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:44.720586 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (314.123232ms) to execute
Nov 02 06:33:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:44.720914 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (180.263201ms) to execute
Nov 02 06:33:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:44.721121 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (475.411117ms) to execute
