-- Logs begin at Mon 2019-09-30 19:40:36 UTC, end at Wed 2019-10-02 10:42:48 UTC. --
Oct 02 10:20:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:20:45.559223 W | etcdserver: request "header:<ID:14919135698849630276 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-xhwlm.15c9cd3bcb62a26f\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-xhwlm.15c9cd3bcb62a26f\" value_size:415 lease:5695763661994853714 >> failure:<>>" with result "size:20" took too long (102.22677ms) to execute
Oct 02 10:20:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:20:56.723849 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-49952\" " with result "range_response_count:1 size:3009" took too long (128.593842ms) to execute
Oct 02 10:21:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:21:00.642667 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (226.634553ms) to execute
Oct 02 10:21:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:21:00.643068 W | etcdserver: request "header:<ID:14919135698849630768 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-gds4s\" mod_revision:31399750 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-gds4s\" value_size:4074 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-gds4s\" > >>" with result "size:20" took too long (136.959162ms) to execute
Oct 02 10:22:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:22:15.605720 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (104.23585ms) to execute
Oct 02 10:22:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:22:37.291689 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (247.381112ms) to execute
Oct 02 10:22:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:22:37.292270 W | etcdserver: request "header:<ID:14919135698849631810 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:31400191 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5319 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (163.379966ms) to execute
Oct 02 10:22:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:22:58.166344 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (139.404791ms) to execute
Oct 02 10:22:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:22:58.190406 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (147.346539ms) to execute
Oct 02 10:22:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:22:58.433666 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (157.712416ms) to execute
Oct 02 10:22:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:22:58.464620 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (187.841831ms) to execute
Oct 02 10:22:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:22:58.465061 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (188.718945ms) to execute
Oct 02 10:23:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:23:01.834676 W | etcdserver: request "header:<ID:14919135698849632109 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-ls9qh.15c9cd592e0ffcf8\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-ls9qh.15c9cd592e0ffcf8\" value_size:402 lease:5695763661994856227 >> failure:<>>" with result "size:20" took too long (281.534298ms) to execute
Oct 02 10:23:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:23:01.835180 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (209.890023ms) to execute
Oct 02 10:23:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:23:01.835748 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-p6c7b\" " with result "range_response_count:1 size:3075" took too long (162.628186ms) to execute
Oct 02 10:23:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 10:23:01.836667 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (245.004368ms) to execute
