-- Logs begin at Sun 2019-09-29 06:59:49 UTC, end at Tue 2019-10-01 07:40:01 UTC. --
Oct 01 07:17:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:56.696827 W | etcdserver: request "header:<ID:14919135698848594862 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-ssnnj.15c974acd2c08036\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-ssnnj.15c974acd2c08036\" value_size:465 lease:5695763661993818233 >> failure:<>>" with result "size:20" took too long (101.598052ms) to execute
Oct 01 07:17:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:57.247590 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-tfgp6.15c974ac2da9f743\" " with result "range_response_count:1 size:520" took too long (253.043093ms) to execute
Oct 01 07:17:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:57.252523 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/servicerolebindings\" range_end:\"/registry/rbac.istio.io/servicerolebindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (123.055993ms) to execute
Oct 01 07:17:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:57.968720 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (300.440067ms) to execute
Oct 01 07:17:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:57.968785 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (309.126706ms) to execute
Oct 01 07:17:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:57.969116 W | etcdserver: request "header:<ID:14919135698848594898 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:31167969 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5180 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (221.536933ms) to execute
Oct 01 07:17:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:58.604984 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (446.959524ms) to execute
Oct 01 07:17:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:58.605912 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dztb9\" " with result "range_response_count:1 size:4174" took too long (394.808032ms) to execute
Oct 01 07:17:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:58.606010 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1121" took too long (234.104151ms) to execute
Oct 01 07:17:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:59.565915 W | etcdserver: request "header:<ID:14919135698848594922 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-ddtvb.15c974aefd66e329\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-ddtvb.15c974aefd66e329\" value_size:465 lease:5695763661993818233 >> failure:<>>" with result "size:20" took too long (856.210833ms) to execute
Oct 01 07:17:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:59.567075 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (766.778625ms) to execute
Oct 01 07:17:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:59.569933 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1892" took too long (745.58905ms) to execute
Oct 01 07:17:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 07:17:59.570188 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (199.758522ms) to execute
