-- Logs begin at Sun 2019-09-29 19:03:45 UTC, end at Tue 2019-10-01 16:50:50 UTC. --
Oct 01 16:29:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:29:20.791169 W | etcdserver: request "header:<ID:14919135698848950829 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:31245519 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (121.232943ms) to execute
Oct 01 16:30:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:30:09.849786 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (121.778024ms) to execute
Oct 01 16:30:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:30:09.850393 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (268.165128ms) to execute
Oct 01 16:30:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:30:34.102529 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (159.350573ms) to execute
Oct 01 16:30:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:30:34.336548 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (101.589985ms) to execute
Oct 01 16:30:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:30:34.337008 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (154.295098ms) to execute
Oct 01 16:30:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:30:34.337161 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-pq428\" " with result "range_response_count:1 size:2634" took too long (142.43748ms) to execute
Oct 01 16:30:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:30:34.337185 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (159.124205ms) to execute
Oct 01 16:31:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:33.612064 W | etcdserver: request "header:<ID:14919135698848952269 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-wx577\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-wx577\" value_size:2578 >> failure:<>>" with result "size:20" took too long (121.931118ms) to execute
Oct 01 16:31:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:33.861674 W | etcdserver: request "header:<ID:14919135698848952287 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:31245836 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (148.516651ms) to execute
Oct 01 16:31:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:33.862942 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (162.831299ms) to execute
Oct 01 16:31:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:33.877627 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (174.885131ms) to execute
Oct 01 16:31:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:33.877850 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (177.382536ms) to execute
Oct 01 16:31:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:34.088566 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (129.89673ms) to execute
Oct 01 16:31:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:48.741956 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (153.939121ms) to execute
Oct 01 16:31:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:48.742083 W | etcdserver: request "header:<ID:14919135698848952485 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-vch9r.15c992f0ed4bebf1\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-vch9r.15c992f0ed4bebf1\" value_size:444 lease:5695763661994176521 >> failure:<>>" with result "size:20" took too long (133.834055ms) to execute
Oct 01 16:31:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:48.761416 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (169.699462ms) to execute
Oct 01 16:31:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:31:48.761462 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (172.25442ms) to execute
Oct 01 16:33:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:19.754373 I | mvcc: store.index: compact 31244942
Oct 01 16:33:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:19.764584 I | mvcc: finished scheduled compaction at 31244942 (took 8.268531ms)
Oct 01 16:33:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:21.151437 W | wal: sync duration of 1.263903687s, expected less than 1s
