-- Logs begin at Mon 2019-09-30 01:47:58 UTC, end at Tue 2019-10-01 20:56:56 UTC. --
Oct 01 20:33:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:23.169696 I | mvcc: store.index: compact 31280913
Oct 01 20:33:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:23.178863 I | mvcc: finished scheduled compaction at 31280913 (took 5.453848ms)
Oct 01 20:33:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:23.441147 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (149.395975ms) to execute
Oct 01 20:33:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:33.866616 W | etcdserver: request "header:<ID:14919135698849113850 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-l5bn6\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-l5bn6\" value_size:2578 >> failure:<>>" with result "size:20" took too long (120.733602ms) to execute
Oct 01 20:33:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:34.116479 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (166.983922ms) to execute
Oct 01 20:33:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:34.116820 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (166.878577ms) to execute
Oct 01 20:33:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:34.116956 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (149.151872ms) to execute
Oct 01 20:33:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:34.117199 W | etcdserver: request "header:<ID:14919135698849113872 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-mxmlx.15c9a02236eb1091\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-mxmlx.15c9a02236eb1091\" value_size:444 lease:5695763661994338025 >> failure:<>>" with result "size:20" took too long (146.477444ms) to execute
Oct 01 20:33:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:34.127696 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-l5bn6\" " with result "range_response_count:1 size:2738" took too long (116.25538ms) to execute
Oct 01 20:33:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:48.893389 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (163.388134ms) to execute
Oct 01 20:33:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:48.893527 W | etcdserver: request "header:<ID:14919135698849114093 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-2w8dm.15c9a025a91f5bd9\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-2w8dm.15c9a025a91f5bd9\" value_size:444 lease:5695763661994338025 >> failure:<>>" with result "size:20" took too long (141.569659ms) to execute
Oct 01 20:33:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:48.904742 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2w8dm\" " with result "range_response_count:1 size:2738" took too long (121.885216ms) to execute
Oct 01 20:33:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:33:48.905853 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1150" took too long (168.660002ms) to execute
Oct 01 20:36:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 20:36:52.450309 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000460-00000000020f49ac.wal is created
