-- Logs begin at Mon 2019-09-30 12:51:38 UTC, end at Wed 2019-10-02 03:59:24 UTC. --
Oct 02 03:33:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:33:26.761935 I | mvcc: store.index: compact 31353164
Oct 02 03:33:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:33:26.770799 I | mvcc: finished scheduled compaction at 31353164 (took 3.937798ms)
Oct 02 03:33:27 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:33:27.069219 W | etcdserver: request "header:<ID:14919135698849407543 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-27hx2\" mod_revision:31355645 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-27hx2\" value_size:4064 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-27hx2\" > >>" with result "size:20" took too long (205.941909ms) to execute
Oct 02 03:35:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:17.283526 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:5961" took too long (125.270036ms) to execute
Oct 02 03:35:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:17.283692 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (104.515126ms) to execute
Oct 02 03:35:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:33.820362 W | etcdserver: request "header:<ID:14919135698849408880 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:31355159 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (140.652926ms) to execute
Oct 02 03:35:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:33.822789 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (162.402504ms) to execute
Oct 02 03:35:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:33.839731 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (143.806687ms) to execute
Oct 02 03:35:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:34.039134 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (112.102179ms) to execute
Oct 02 03:35:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:48.740345 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (151.54192ms) to execute
Oct 02 03:35:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:48.740464 W | etcdserver: request "header:<ID:14919135698849409053 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-tfcv7\" mod_revision:31356028 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-tfcv7\" value_size:2644 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-tfcv7\" > >>" with result "size:20" took too long (144.772015ms) to execute
Oct 02 03:35:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:48.756141 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (159.522144ms) to execute
Oct 02 03:35:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:48.779052 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (135.208834ms) to execute
Oct 02 03:35:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:35:48.779877 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (177.0538ms) to execute
Oct 02 03:36:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.382407 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (148.103932ms) to execute
Oct 02 03:36:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.382784 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (142.332648ms) to execute
Oct 02 03:36:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.383064 W | etcdserver: request "header:<ID:14919135698849409374 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/istio-system/istio-citadel\" mod_revision:31354353 > success:<request_put:<key:\"/registry/services/endpoints/istio-system/istio-citadel\" value_size:415 >> failure:<request_range:<key:\"/registry/services/endpoints/istio-system/istio-citadel\" > >>" with result "size:20" took too long (141.61734ms) to execute
Oct 02 03:36:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.596411 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (160.946368ms) to execute
Oct 02 03:36:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.596984 W | etcdserver: request "header:<ID:14919135698849409387 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/istio-system/istio-galley\" mod_revision:31354585 > success:<request_put:<key:\"/registry/services/endpoints/istio-system/istio-galley\" value_size:432 >> failure:<request_range:<key:\"/registry/services/endpoints/istio-system/istio-galley\" > >>" with result "size:20" took too long (110.270915ms) to execute
Oct 02 03:36:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.631991 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-grafana-post-install-1.1.5-xjwl5\" " with result "range_response_count:1 size:2114" took too long (193.50333ms) to execute
Oct 02 03:36:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.632692 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (196.478817ms) to execute
Oct 02 03:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.992016 W | etcdserver: request "header:<ID:14919135698849409418 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" mod_revision:31354925 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" value_size:2463 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" > >>" with result "size:20" took too long (130.235976ms) to execute
