-- Logs begin at Mon 2019-09-30 19:40:36 UTC, end at Wed 2019-10-02 11:57:19 UTC. --
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.936513 W | wal: sync duration of 1.511875732s, expected less than 1s
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.939648 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.184565174s) to execute
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.940165 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (890.135184ms) to execute
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.940365 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-cvvpw\" " with result "range_response_count:1 size:2448" took too long (920.398752ms) to execute
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.940576 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (522.937257ms) to execute
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.940904 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (890.308998ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.673112 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (607.557732ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.673197 W | etcdserver: request "header:<ID:14919135698849682253 > lease_revoke:<id:4f0b6adf85c8d27f>" with result "size:29" took too long (571.028873ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.673304 W | etcdserver: failed to revoke 4f0b6adf85c8d27f ("lease not found")
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.673414 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-policy\" " with result "range_response_count:1 size:926" took too long (628.934302ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.674584 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (462.235023ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.674644 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (462.173093ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.674740 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (460.648685ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.674825 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (460.859079ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.674896 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-55g98\" " with result "range_response_count:1 size:2314" took too long (325.422632ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.675101 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (117.958416ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.675299 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (462.426059ms) to execute
Oct 02 11:35:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:24.675431 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (225.237443ms) to execute
Oct 02 11:35:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:28.542326 W | wal: sync duration of 1.025735758s, expected less than 1s
Oct 02 11:35:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:28.546288 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.154822217s) to execute
Oct 02 11:35:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:28.546403 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4376" took too long (1.033543817s) to execute
Oct 02 11:35:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:28.546734 W | etcdserver: request "header:<ID:14919135698849682302 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:31414538 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5180 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (1.029776838s) to execute
Oct 02 11:35:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:28.547036 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:5961" took too long (663.024691ms) to execute
Oct 02 11:35:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:28.547059 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (965.137211ms) to execute
Oct 02 11:35:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:28.547712 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/meshpolicies\" range_end:\"/registry/authentication.istio.io/meshpoliciet\" count_only:true " with result "range_response_count:0 size:9" took too long (465.805485ms) to execute
Oct 02 11:35:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:28.547983 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (551.098552ms) to execute
Oct 02 11:35:30 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:30.902807 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (189.891386ms) to execute
Oct 02 11:35:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:35.691834 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (630.181915ms) to execute
Oct 02 11:35:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:35.691928 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (771.162807ms) to execute
Oct 02 11:35:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:35.691964 W | etcdserver: request "header:<ID:14919135698849682377 > lease_revoke:<id:4f0b6adf85c8d326>" with result "size:29" took too long (584.518512ms) to execute
Oct 02 11:35:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:35.692018 W | etcdserver: failed to revoke 4f0b6adf85c8d326 ("lease not found")
Oct 02 11:35:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:35.692113 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops\" range_end:\"/registry/config.istio.io/noopt\" count_only:true " with result "range_response_count:0 size:7" took too long (524.561183ms) to execute
Oct 02 11:35:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:35.692323 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/servicerolebindings\" range_end:\"/registry/rbac.istio.io/servicerolebindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (120.208738ms) to execute
