-- Logs begin at Mon 2019-09-30 19:40:36 UTC, end at Wed 2019-10-02 13:09:20 UTC. --
Oct 02 12:47:22 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:22.831326 W | etcdserver: request "header:<ID:14919135698849731958 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-bjb5g\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-bjb5g\" value_size:976 >> failure:<>>" with result "size:20" took too long (134.20407ms) to execute
Oct 02 12:47:22 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:22.857227 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (153.204723ms) to execute
Oct 02 12:47:22 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:22.885946 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gsv52\" " with result "range_response_count:1 size:1121" took too long (173.540599ms) to execute
Oct 02 12:47:22 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:22.886174 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (182.087018ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.105236 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gmlrz\" " with result "range_response_count:1 size:1118" took too long (189.988984ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.105381 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cstgc\" " with result "range_response_count:1 size:1121" took too long (202.335827ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.144506 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-stqpb\" " with result "range_response_count:1 size:1121" took too long (207.934697ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.346732 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sw6fs\" " with result "range_response_count:1 size:1121" took too long (160.484632ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.347106 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:25781" took too long (170.569126ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.374959 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (119.90035ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.375329 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4mtt2\" " with result "range_response_count:1 size:1121" took too long (167.60984ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.375539 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6bnk6\" " with result "range_response_count:1 size:1121" took too long (171.268694ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.375761 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (173.908037ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.590484 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jfzzr\" " with result "range_response_count:1 size:1121" took too long (133.603104ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.592647 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xb7ss\" " with result "range_response_count:1 size:1118" took too long (130.195421ms) to execute
Oct 02 12:47:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:23.800909 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15c9d5465703ab6f\" " with result "range_response_count:1 size:485" took too long (110.777695ms) to execute
Oct 02 12:47:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:47:33.745922 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (122.307793ms) to execute
Oct 02 12:48:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:48:32.350814 I | mvcc: store.index: compact 31426060
Oct 02 12:48:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:48:32.358185 I | mvcc: finished scheduled compaction at 31426060 (took 5.282261ms)
Oct 02 12:48:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:48:32.572348 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (172.054959ms) to execute
Oct 02 12:53:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:02.158210 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (274.935387ms) to execute
Oct 02 12:53:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:10.982068 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-hb46f\" " with result "range_response_count:1 size:2434" took too long (186.341336ms) to execute
Oct 02 12:53:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:32.366357 I | mvcc: store.index: compact 31427123
Oct 02 12:53:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:32.375756 I | mvcc: finished scheduled compaction at 31427123 (took 8.004044ms)
Oct 02 12:53:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:32.723322 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (203.400951ms) to execute
Oct 02 12:53:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:32.723488 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jfzzr.15c9d53dc6d60817\" " with result "range_response_count:1 size:550" took too long (104.374628ms) to execute
Oct 02 12:53:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:32.723585 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (175.505858ms) to execute
Oct 02 12:53:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:44.270159 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (195.357807ms) to execute
Oct 02 12:53:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:45.221598 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (437.472685ms) to execute
Oct 02 12:53:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:46.846228 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (504.911167ms) to execute
Oct 02 12:53:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:46.846812 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sw6fs\" " with result "range_response_count:1 size:1738" took too long (138.650914ms) to execute
Oct 02 12:53:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:46.846907 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (365.139938ms) to execute
Oct 02 12:53:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:48.430282 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (106.762273ms) to execute
Oct 02 12:53:50 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:50.521586 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gsv52\" " with result "range_response_count:1 size:1961" took too long (481.09418ms) to execute
Oct 02 12:53:50 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:50.522008 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (325.57761ms) to execute
Oct 02 12:53:50 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:53:50.522287 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (223.673188ms) to execute
Oct 02 12:54:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:54:00.837169 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (196.133831ms) to execute
Oct 02 12:54:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:54:00.837771 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (269.538304ms) to execute
Oct 02 12:54:38 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:54:38.617571 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (408.606952ms) to execute
Oct 02 12:54:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:54:43.276129 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (200.797012ms) to execute
Oct 02 12:55:16 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:55:16.106172 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000465-000000000211b0f0.wal is created
Oct 02 12:55:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:55:44.263225 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000460-00000000020f49ac.wal successfully
Oct 02 12:57:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:57:53.249175 I | etcdserver: start to snapshot (applied: 34714342, lastsnap: 34704341)
Oct 02 12:57:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:57:53.321978 I | etcdserver: saved snapshot at index 34714342
Oct 02 12:57:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:57:53.322465 I | etcdserver: compacted raft log at 34709342
Oct 02 12:58:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:58:20.217843 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000b-000000000210ef91.snap successfully
Oct 02 12:58:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:58:32.379008 I | mvcc: store.index: compact 31428082
Oct 02 12:58:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:58:32.386576 I | mvcc: finished scheduled compaction at 31428082 (took 6.109432ms)
Oct 02 12:58:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:58:43.245011 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1419" took too long (136.452577ms) to execute
Oct 02 12:59:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:59:01.499551 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (212.533975ms) to execute
Oct 02 12:59:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:59:33.076199 W | etcdserver: request "header:<ID:14919135698849739226 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-cwl7z.15c9d5e3c5e2bd33\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-cwl7z.15c9d5e3c5e2bd33\" value_size:483 lease:5695763661994962944 >> failure:<>>" with result "size:20" took too long (177.136619ms) to execute
Oct 02 12:59:50 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:59:50.889285 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gmlrz\" " with result "range_response_count:1 size:1855" took too long (152.437891ms) to execute
Oct 02 12:59:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 12:59:57.034121 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (115.483843ms) to execute
Oct 02 13:00:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:07.872037 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (379.015939ms) to execute
Oct 02 13:00:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:07.872331 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jl8tp\" " with result "range_response_count:1 size:1855" took too long (343.165005ms) to execute
Oct 02 13:00:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:07.872632 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (566.367324ms) to execute
Oct 02 13:00:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:10.487450 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (431.529192ms) to execute
Oct 02 13:00:11 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:11.433949 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sw6fs\" " with result "range_response_count:1 size:1995" took too long (290.962379ms) to execute
Oct 02 13:00:11 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:11.434310 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (340.0704ms) to execute
Oct 02 13:00:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:21.819461 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (139.251743ms) to execute
Oct 02 13:00:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:28.702814 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cwl7z\" " with result "range_response_count:1 size:1851" took too long (267.906342ms) to execute
Oct 02 13:00:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:28.702966 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (430.37069ms) to execute
Oct 02 13:00:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:37.969958 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (314.353057ms) to execute
Oct 02 13:00:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:37.970003 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (509.239945ms) to execute
Oct 02 13:00:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:42.414419 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (367.604013ms) to execute
Oct 02 13:00:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:42.414490 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (304.886972ms) to execute
Oct 02 13:00:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:42.414587 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (424.48274ms) to execute
Oct 02 13:00:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:58.918593 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jfzzr\" " with result "range_response_count:1 size:1858" took too long (348.487795ms) to execute
Oct 02 13:00:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 13:00:58.918768 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (419.116953ms) to execute
