-- Logs begin at Thu 2019-10-24 21:08:27 UTC, end at Thu 2019-10-31 09:30:39 UTC. --
Oct 31 09:10:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:37.995817 W | etcdserver: request "header:<ID:14919139277656273481 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d2b0276c1c9593\" mod_revision:35140520 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d2b0276c1c9593\" value_size:386 lease:5695767240801497413 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d2b0276c1c9593\" > >>" with result "size:20" took too long (113.903538ms) to execute
Oct 31 09:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:38.013574 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6cg6d\" " with result "range_response_count:1 size:1121" took too long (129.324365ms) to execute
Oct 31 09:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:38.049186 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4sfsm\" " with result "range_response_count:1 size:1121" took too long (145.616351ms) to execute
Oct 31 09:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:38.049247 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tdgd4\" " with result "range_response_count:1 size:1121" took too long (164.981912ms) to execute
Oct 31 09:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:38.217490 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (147.49961ms) to execute
Oct 31 09:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:38.217566 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (162.270185ms) to execute
Oct 31 09:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:38.217586 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xnjfj\" " with result "range_response_count:1 size:1121" took too long (159.935219ms) to execute
Oct 31 09:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:38.252223 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d2b0276c1c9593\" " with result "range_response_count:1 size:485" took too long (160.05631ms) to execute
Oct 31 09:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:38.252351 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-d6tz4\" " with result "range_response_count:1 size:1118" took too long (142.507375ms) to execute
Oct 31 09:10:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:10:46.635285 W | etcdserver: request "header:<ID:14919139277656273692 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:35140995 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (102.647236ms) to execute
Oct 31 09:11:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:11:04.617498 I | mvcc: store.index: compact 35139266
