-- Logs begin at Fri 2020-01-31 10:16:36 UTC, end at Sat 2020-02-01 22:20:19 UTC. --
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.108329 W | wal: sync duration of 2.560027638s, expected less than 1s
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.111488 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (3.736982913s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.111517 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:256" took too long (3.626536559s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.111776 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2101" took too long (3.629052173s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.111808 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (3.714217089s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.111974 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-z5ks5.15ef660c8057bc11\" " with result "range_response_count:1 size:561" took too long (3.737295098s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.112047 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qzp2x\" " with result "range_response_count:1 size:1121" took too long (3.705197275s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.112153 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (3.714701719s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.112212 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (3.730526919s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.112321 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (3.737759789s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.112511 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7swx2\" " with result "range_response_count:1 size:1118" took too long (3.722711327s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.112716 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (3.731024069s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.112901 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (3.395037912s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.690607 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kv9ml\" " with result "range_response_count:1 size:1121" took too long (3.092013639s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.690711 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (3.118237232s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.690827 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:10 size:12007" took too long (2.869621815s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.690973 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/resourcequota-controller\" " with result "range_response_count:1 size:271" took too long (3.112312288s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.691056 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (3.106648544s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.691186 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (2.364044649s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.691291 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (922.155373ms) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.691510 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/flannel\" " with result "range_response_count:1 size:393" took too long (3.112269469s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.691571 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (3.12009156s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.691819 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (3.122986117s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.691846 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (3.106767044s) to execute
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.692015 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (2.417018189s) to execute
Feb 01 21:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:18.271623 W | wal: sync duration of 1.608741737s, expected less than 1s
Feb 01 21:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:18.274816 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-kv9ml.15ef66151cdeffe5\" " with result "range_response_count:1 size:561" took too long (1.841859335s) to execute
Feb 01 21:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:18.275146 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (1.864711152s) to execute
Feb 01 21:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:18.275647 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:20 size:10814" took too long (2.14895849s) to execute
Feb 01 21:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:18.275933 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:20 size:10814" took too long (2.149107775s) to execute
Feb 01 21:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:18.276054 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zv7l7\" " with result "range_response_count:1 size:1121" took too long (2.146076262s) to execute
Feb 01 21:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:18.276170 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3153" took too long (2.149573575s) to execute
Feb 01 21:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:18.276232 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-qzp2x.15ef660edc4b4316\" " with result "range_response_count:1 size:561" took too long (2.149138893s) to execute
Feb 01 21:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:18.276528 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:1 size:1295" took too long (2.150570709s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.258963 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.135436855s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.259015 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.382196306s) to execute
