-- Logs begin at Tue 2019-10-29 00:05:09 UTC, end at Fri 2019-11-01 17:36:12 UTC. --
Nov 01 17:14:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:14:45.362803 I | etcdserver: start to snapshot (applied: 39154848, lastsnap: 39144847)
Nov 01 17:14:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:14:45.507709 I | etcdserver: saved snapshot at index 39154848
Nov 01 17:14:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:14:45.508185 I | etcdserver: compacted raft log at 39149848
Nov 01 17:15:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:04.000628 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000254b14b.snap successfully
Nov 01 17:15:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:33.347802 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d31935bf6b45a3\" " with result "range_response_count:1 size:485" took too long (135.597153ms) to execute
Nov 01 17:15:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:33.391811 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pf6d7\" " with result "range_response_count:1 size:1118" took too long (157.871321ms) to execute
Nov 01 17:15:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:33.391853 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-667df\" " with result "range_response_count:1 size:1121" took too long (149.949564ms) to execute
Nov 01 17:15:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:33.392194 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f2bt2\" " with result "range_response_count:1 size:1121" took too long (157.835416ms) to execute
Nov 01 17:15:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:33.392345 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h6wwp\" " with result "range_response_count:1 size:1121" took too long (160.461436ms) to execute
Nov 01 17:15:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:33.582975 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h6wwp\" " with result "range_response_count:1 size:1502" took too long (146.578363ms) to execute
Nov 01 17:15:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:33.583373 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (155.400617ms) to execute
Nov 01 17:15:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:33.583556 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4ttr8\" " with result "range_response_count:1 size:1118" took too long (155.599835ms) to execute
Nov 01 17:15:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:33.586972 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fjqvr\" " with result "range_response_count:1 size:1121" took too long (116.022321ms) to execute
Nov 01 17:15:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:35.689420 W | etcdserver: request "header:<ID:14919139277657490511 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:35462146 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:2163 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (111.398537ms) to execute
Nov 01 17:15:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:35.705972 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f2bt2\" " with result "range_response_count:1 size:1502" took too long (127.006133ms) to execute
Nov 01 17:15:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:15:35.708071 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (107.304729ms) to execute
Nov 01 17:16:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:16:33.469694 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (121.340271ms) to execute
Nov 01 17:16:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:16:35.107882 I | mvcc: store.index: compact 35460332
Nov 01 17:16:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:16:35.118936 I | mvcc: finished scheduled compaction at 35460332 (took 8.755434ms)
Nov 01 17:16:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:16:35.757229 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (483.634903ms) to execute
