-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 03:31:54 UTC. --
Nov 02 03:11:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:11:28.730387 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1430" took too long (101.905156ms) to execute
Nov 02 03:11:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:11:28.934228 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (136.473333ms) to execute
Nov 02 03:11:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:11:28.937285 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qfhzh\" " with result "range_response_count:1 size:1121" took too long (117.319936ms) to execute
Nov 02 03:11:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:11:40.651666 I | mvcc: store.index: compact 35561189
Nov 02 03:11:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:11:40.660938 I | mvcc: finished scheduled compaction at 35561189 (took 6.909935ms)
Nov 02 03:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:13:28.934307 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (121.572975ms) to execute
Nov 02 03:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:13:28.934555 W | etcdserver: request "header:<ID:14919139277657893939 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-27j29.15d339f28d81e9f9\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-27j29.15d339f28d81e9f9\" value_size:389 lease:5695767240803117822 >> failure:<>>" with result "size:20" took too long (119.320997ms) to execute
Nov 02 03:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:13:28.934619 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-j82h6\" " with result "range_response_count:1 size:1118" took too long (121.321631ms) to execute
Nov 02 03:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:13:28.949752 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d339b3b9bd7307\" " with result "range_response_count:1 size:485" took too long (135.016216ms) to execute
Nov 02 03:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:13:28.977723 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lcdvq\" " with result "range_response_count:1 size:1121" took too long (141.006576ms) to execute
Nov 02 03:14:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:00.623404 W | wal: sync duration of 1.225495105s, expected less than 1s
