-- Logs begin at Fri 2019-12-20 08:29:15 UTC, end at Sat 2019-12-21 19:45:52 UTC. --
Dec 21 19:26:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:26:37.095409 I | mvcc: store.index: compact 45611055
Dec 21 19:26:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:26:37.105830 I | mvcc: finished scheduled compaction at 45611055 (took 8.874832ms)
Dec 21 19:27:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:27:56.888721 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (173.064092ms) to execute
Dec 21 19:27:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:27:56.889020 W | etcdserver: request "header:<ID:14919139277709709314 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e2794d212841cd\" mod_revision:45611373 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e2794d212841cd\" value_size:386 lease:5695767240854932769 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e2794d212841cd\" > >>" with result "size:20" took too long (134.14135ms) to execute
Dec 21 19:27:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:27:56.903519 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xqd57\" " with result "range_response_count:1 size:1121" took too long (142.218274ms) to execute
Dec 21 19:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:28:12.001066 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mwrmk\" " with result "range_response_count:1 size:1118" took too long (153.930661ms) to execute
Dec 21 19:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:28:12.001132 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4sv6t\" " with result "range_response_count:1 size:1121" took too long (165.020305ms) to execute
Dec 21 19:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:28:12.001635 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-t82vq\" " with result "range_response_count:1 size:1121" took too long (153.336393ms) to execute
Dec 21 19:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:28:12.001706 W | etcdserver: request "header:<ID:14919139277709709605 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-mwrmk.15e2799301effab5\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-mwrmk.15e2799301effab5\" value_size:389 lease:5695767240854933545 >> failure:<>>" with result "size:20" took too long (125.519088ms) to execute
Dec 21 19:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:28:12.016044 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e2794d212841cd\" " with result "range_response_count:1 size:485" took too long (157.363514ms) to execute
Dec 21 19:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:28:12.043133 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8fqc4\" " with result "range_response_count:1 size:1121" took too long (164.202935ms) to execute
Dec 21 19:31:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:31:37.142948 I | mvcc: store.index: compact 45612036
Dec 21 19:31:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:31:37.149717 I | mvcc: finished scheduled compaction at 45612036 (took 4.595021ms)
Dec 21 19:36:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:36:37.172368 I | mvcc: store.index: compact 45613282
Dec 21 19:36:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 19:36:37.182944 I | mvcc: finished scheduled compaction at 45613282 (took 8.258423ms)
