-- Logs begin at Fri 2019-11-01 06:45:16 UTC, end at Mon 2019-11-04 03:28:49 UTC. --
Nov 04 03:07:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:07:31.460369 I | mvcc: store.index: compact 36002555
Nov 04 03:07:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:07:31.466664 I | mvcc: finished scheduled compaction at 36002555 (took 5.345727ms)
Nov 04 03:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:12:31.473019 I | mvcc: store.index: compact 36003359
Nov 04 03:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:12:31.478329 I | mvcc: finished scheduled compaction at 36003359 (took 4.244783ms)
Nov 04 03:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:12:31.711606 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (219.602863ms) to execute
Nov 04 03:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:12:31.711744 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (222.451754ms) to execute
Nov 04 03:13:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:13:41.609670 W | wal: sync duration of 1.12007862s, expected less than 1s
Nov 04 03:13:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:13:41.615066 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (348.219125ms) to execute
Nov 04 03:13:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:13:41.615204 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (886.920491ms) to execute
Nov 04 03:13:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:13:41.615749 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (417.422329ms) to execute
Nov 04 03:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:14:56.925267 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (324.932782ms) to execute
Nov 04 03:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:14:56.925421 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (388.234234ms) to execute
Nov 04 03:15:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:15:01.167486 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (754.007169ms) to execute
Nov 04 03:15:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:15:41.486003 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (545.90121ms) to execute
Nov 04 03:15:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:15:41.517102 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (296.257771ms) to execute
Nov 04 03:17:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:17:31.486170 I | mvcc: store.index: compact 36003876
Nov 04 03:17:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:17:31.492266 I | mvcc: finished scheduled compaction at 36003876 (took 4.564111ms)
Nov 04 03:22:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:22:31.580589 I | mvcc: store.index: compact 36004392
Nov 04 03:22:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:22:31.590425 I | mvcc: finished scheduled compaction at 36004392 (took 8.079774ms)
