-- Logs begin at Fri 2019-11-01 16:26:07 UTC, end at Mon 2019-11-04 09:29:28 UTC. --
Nov 04 09:07:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:07:33.806576 I | mvcc: store.index: compact 36055823
Nov 04 09:07:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:07:33.813667 I | mvcc: finished scheduled compaction at 36055823 (took 5.045152ms)
Nov 04 09:07:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:07:34.315602 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (410.878215ms) to execute
Nov 04 09:07:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:07:34.316220 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (191.591566ms) to execute
Nov 04 09:08:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:08:28.956608 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s2q4m\" " with result "range_response_count:1 size:1121" took too long (143.60967ms) to execute
Nov 04 09:08:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:08:28.956894 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hzlgj\" " with result "range_response_count:1 size:1118" took too long (145.005809ms) to execute
Nov 04 09:08:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:08:28.957128 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (153.351455ms) to execute
Nov 04 09:08:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:08:28.957264 W | etcdserver: request "header:<ID:14919139277659966706 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d3ea6297ab9ba8\" mod_revision:36056819 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d3ea6297ab9ba8\" value_size:386 lease:5695767240805190871 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d3ea6297ab9ba8\" > >>" with result "size:20" took too long (121.845346ms) to execute
Nov 04 09:08:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:08:28.958424 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (135.807887ms) to execute
Nov 04 09:09:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:09:02.893744 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (150.000854ms) to execute
Nov 04 09:10:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:10:56.261498 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (740.823061ms) to execute
Nov 04 09:10:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:10:56.261684 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (202.28385ms) to execute
Nov 04 09:10:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:10:56.261772 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (775.091075ms) to execute
Nov 04 09:11:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:11:36.635569 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (195.069885ms) to execute
