-- Logs begin at Fri 2019-11-01 16:26:07 UTC, end at Mon 2019-11-04 10:18:33 UTC. --
Nov 04 09:57:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:57:34.145716 I | mvcc: store.index: compact 36061900
Nov 04 09:57:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:57:34.152155 I | mvcc: finished scheduled compaction at 36061900 (took 4.425793ms)
Nov 04 09:58:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:27.521357 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2lrtc\" " with result "range_response_count:1 size:1118" took too long (145.042626ms) to execute
Nov 04 09:58:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:27.521495 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z6h6w\" " with result "range_response_count:1 size:1121" took too long (146.304521ms) to execute
Nov 04 09:58:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:27.521600 W | etcdserver: request "header:<ID:14919139277659991555 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-q52q7.15d3ed352391af0e\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-q52q7.15d3ed352391af0e\" value_size:392 lease:5695767240805215716 >> failure:<>>" with result "size:20" took too long (136.046031ms) to execute
Nov 04 09:58:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:27.522145 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qsqpq\" " with result "range_response_count:1 size:1121" took too long (126.120609ms) to execute
Nov 04 09:58:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:27.552915 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-q52q7\" " with result "range_response_count:1 size:1121" took too long (137.989552ms) to execute
Nov 04 09:58:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:27.553174 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-54pck\" " with result "range_response_count:1 size:1121" took too long (153.025542ms) to execute
Nov 04 09:58:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:30.253361 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qsqpq\" " with result "range_response_count:1 size:1501" took too long (539.429201ms) to execute
Nov 04 09:58:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:30.341975 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (126.71107ms) to execute
Nov 04 09:58:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:30.342289 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (104.5286ms) to execute
Nov 04 09:58:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 09:58:30.584185 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/resourcequota-controller\" " with result "range_response_count:1 size:271" took too long (238.161364ms) to execute
