-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 09:17:02 UTC. --
Oct 10 08:57:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:57:21.963073 I | mvcc: store.index: compact 32074264
Oct 10 08:57:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:57:21.973278 I | mvcc: finished scheduled compaction at 32074264 (took 7.4054ms)
Oct 10 08:57:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:57:22.190365 W | etcdserver: request "header:<ID:14919138748426624166 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:32075187 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (118.681362ms) to execute
Oct 10 08:58:55 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:58:55.244765 I | etcdserver: start to snapshot (applied: 35434414, lastsnap: 35424413)
Oct 10 08:58:55 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:58:55.306183 I | etcdserver: saved snapshot at index 35434414
Oct 10 08:58:55 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:58:55.308017 I | etcdserver: compacted raft log at 35429414
Oct 10 08:59:19 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:59:19.330938 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (365.89232ms) to execute
Oct 10 08:59:19 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:59:19.349790 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (107.634388ms) to execute
Oct 10 08:59:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:59:23.304803 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000e-00000000021bec59.snap successfully
Oct 10 08:59:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:59:27.741672 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (131.50155ms) to execute
Oct 10 09:00:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:00:30.220861 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (532.854971ms) to execute
Oct 10 09:00:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:00:30.254155 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (441.348828ms) to execute
Oct 10 09:00:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:00:30.254409 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/clusterrbacconfigs\" range_end:\"/registry/rbac.istio.io/clusterrbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (276.74314ms) to execute
Oct 10 09:00:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:00:30.254483 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/serviceroles\" range_end:\"/registry/rbac.istio.io/servicerolet\" count_only:true " with result "range_response_count:0 size:7" took too long (329.659064ms) to execute
Oct 10 09:00:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:00:30.254530 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stdios\" range_end:\"/registry/config.istio.io/stdiot\" count_only:true " with result "range_response_count:0 size:7" took too long (154.090849ms) to execute
Oct 10 09:02:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:02:21.980701 I | mvcc: store.index: compact 32075210
Oct 10 09:02:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:02:21.988628 I | mvcc: finished scheduled compaction at 32075210 (took 6.172635ms)
Oct 10 09:02:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:02:22.327095 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (179.755588ms) to execute
Oct 10 09:03:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:03:23.883608 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-zzbj9\" " with result "range_response_count:1 size:2314" took too long (215.203143ms) to execute
Oct 10 09:07:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:07:22.006111 I | mvcc: store.index: compact 32075820
Oct 10 09:07:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:07:22.013689 I | mvcc: finished scheduled compaction at 32075820 (took 5.441941ms)
Oct 10 09:11:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:11:35.637507 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (109.109355ms) to execute
Oct 10 09:12:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:12:22.051152 I | mvcc: store.index: compact 32076416
Oct 10 09:12:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:12:22.061423 I | mvcc: finished scheduled compaction at 32076416 (took 7.663195ms)
Oct 10 09:15:08 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 09:15:08.490928 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (100.542374ms) to execute
