-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 16:36:57 UTC. --
Oct 10 16:17:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:17:29.497085 I | mvcc: store.index: compact 32159058
Oct 10 16:17:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:17:29.504269 I | mvcc: finished scheduled compaction at 32159058 (took 5.328235ms)
Oct 10 16:17:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:17:29.716577 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (191.760239ms) to execute
Oct 10 16:17:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:17:29.716738 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xvnjq\" " with result "range_response_count:1 size:4145" took too long (103.078029ms) to execute
Oct 10 16:22:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:22:29.510974 I | mvcc: store.index: compact 32160027
Oct 10 16:22:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:22:29.517824 I | mvcc: finished scheduled compaction at 32160027 (took 5.323975ms)
Oct 10 16:27:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:27:29.523903 I | mvcc: store.index: compact 32160654
Oct 10 16:27:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:27:29.530129 I | mvcc: finished scheduled compaction at 32160654 (took 4.236889ms)
Oct 10 16:32:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:32:20.191755 N | compactor: Starting auto-compaction at revision 32070841
Oct 10 16:32:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:32:20.192179 N | compactor: Finished auto-compaction at revision 32070841
Oct 10 16:32:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:32:29.538477 I | mvcc: store.index: compact 32161285
Oct 10 16:32:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:32:29.546292 I | mvcc: finished scheduled compaction at 32161285 (took 4.648631ms)
Oct 10 16:33:47 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:33:47.299441 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (477.366075ms) to execute
Oct 10 16:34:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:34:37.811887 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (179.046188ms) to execute
Oct 10 16:34:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:34:37.811975 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:10 size:40921" took too long (193.515178ms) to execute
Oct 10 16:34:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:34:48.400236 W | wal: sync duration of 1.544602688s, expected less than 1s
Oct 10 16:34:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:34:48.403411 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.322666714s) to execute
Oct 10 16:34:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:34:48.407263 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-rpv82\" " with result "range_response_count:1 size:2314" took too long (1.114647017s) to execute
Oct 10 16:34:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:34:48.407608 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (391.681348ms) to execute
Oct 10 16:34:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:34:48.408005 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/meshpolicies\" range_end:\"/registry/authentication.istio.io/meshpoliciet\" count_only:true " with result "range_response_count:0 size:9" took too long (741.696444ms) to execute
Oct 10 16:34:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:34:48.408227 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.068428844s) to execute
Oct 10 16:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:35:32.791192 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (561.876992ms) to execute
Oct 10 16:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:35:32.791535 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-rpv82\" " with result "range_response_count:1 size:2314" took too long (496.939458ms) to execute
Oct 10 16:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:35:32.791555 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-rpv82\" " with result "range_response_count:1 size:2314" took too long (550.972243ms) to execute
Oct 10 16:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:35:32.791774 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (184.937372ms) to execute
Oct 10 16:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:35:32.792373 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (690.860192ms) to execute
Oct 10 16:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:35:32.792593 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (667.266622ms) to execute
Oct 10 16:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:35:32.793325 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (145.967524ms) to execute
Oct 10 16:35:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:35:42.484847 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (411.528714ms) to execute
