-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 11:19:39 UTC. --
Oct 10 11:00:19 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:19.799836 W | etcdserver: request "header:<ID:14919138748426709814 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-9hqkk.15cc441346dc405d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-9hqkk.15cc441346dc405d\" value_size:444 lease:5695766711571933770 >> failure:<>>" with result "size:20" took too long (161.440683ms) to execute
Oct 10 11:00:19 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:19.803152 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (168.177939ms) to execute
Oct 10 11:00:19 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:19.820071 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-9hqkk\" " with result "range_response_count:1 size:2738" took too long (167.058887ms) to execute
Oct 10 11:00:19 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:19.820239 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (105.631349ms) to execute
Oct 10 11:00:19 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:19.820504 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (157.240573ms) to execute
Oct 10 11:00:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:20.037307 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (125.088319ms) to execute
Oct 10 11:00:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:20.037720 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (173.946857ms) to execute
Oct 10 11:00:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:20.037824 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (175.335042ms) to execute
Oct 10 11:00:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:20.039719 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-hz2tm\" " with result "range_response_count:1 size:2738" took too long (137.612511ms) to execute
Oct 10 11:00:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:34.858474 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-zb5sn\" " with result "range_response_count:1 size:2738" took too long (158.425945ms) to execute
Oct 10 11:00:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:34.858645 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (158.778143ms) to execute
Oct 10 11:00:56 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:56.708027 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (600.726324ms) to execute
Oct 10 11:00:56 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:56.708715 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (543.416728ms) to execute
Oct 10 11:00:58 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:00:58.875825 W | etcdserver: request "header:<ID:14919138748426710352 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:32099365 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (103.206906ms) to execute
Oct 10 11:01:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:01:06.337443 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6063" took too long (203.941239ms) to execute
Oct 10 11:02:26 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:02:26.526963 I | mvcc: store.index: compact 32098683
Oct 10 11:02:26 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:02:26.535627 I | mvcc: finished scheduled compaction at 32098683 (took 6.908682ms)
Oct 10 11:02:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:02:28.024194 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (899.094893ms) to execute
Oct 10 11:02:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:02:28.024273 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-gqhgz.15cc43e9d2a2b74d\" " with result "range_response_count:1 size:550" took too long (997.486085ms) to execute
Oct 10 11:02:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:02:28.024398 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (932.795596ms) to execute
Oct 10 11:02:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:02:28.024603 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (991.187424ms) to execute
Oct 10 11:02:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:02:28.026521 W | etcdserver: request "header:<ID:14919138748426711386 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:32099592 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (830.100075ms) to execute
Oct 10 11:02:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:02:28.047953 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stackdrivers\" range_end:\"/registry/config.istio.io/stackdrivert\" count_only:true " with result "range_response_count:0 size:7" took too long (499.545237ms) to execute
Oct 10 11:02:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:02:28.078905 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gqhgz\" " with result "range_response_count:1 size:4400" took too long (241.391933ms) to execute
Oct 10 11:04:09 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:04:09.600362 I | wal: segmented wal file /var/lib/etcd/member/wal/000000000000047f-00000000021d158f.wal is created
Oct 10 11:04:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:04:23.489835 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000047a-00000000021adda4.wal successfully
Oct 10 11:07:26 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:07:26.541100 I | mvcc: store.index: compact 32099620
