-- Logs begin at Thu 2019-10-24 21:08:27 UTC, end at Thu 2019-10-31 09:55:07 UTC. --
Oct 31 09:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:36:04.696810 I | mvcc: store.index: compact 35144276
Oct 31 09:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:36:04.704133 I | mvcc: finished scheduled compaction at 35144276 (took 5.938316ms)
Oct 31 09:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:36:04.952167 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (147.654867ms) to execute
Oct 31 09:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:36:04.952255 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (171.068306ms) to execute
Oct 31 09:41:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:41:04.713991 I | mvcc: store.index: compact 35145207
Oct 31 09:41:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:41:04.723060 I | mvcc: finished scheduled compaction at 35145207 (took 7.763906ms)
Oct 31 09:41:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:41:47.906555 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (463.169349ms) to execute
Oct 31 09:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:46:04.726060 I | mvcc: store.index: compact 35145726
Oct 31 09:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:46:04.732439 I | mvcc: finished scheduled compaction at 35145726 (took 5.289942ms)
Oct 31 09:47:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:47:19.338396 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (405.396231ms) to execute
Oct 31 09:47:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:47:19.338483 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (344.943781ms) to execute
Oct 31 09:47:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:47:19.339116 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (163.400154ms) to execute
Oct 31 09:48:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:48:38.342220 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1480" took too long (125.578593ms) to execute
Oct 31 09:49:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:49:14.593340 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (104.968843ms) to execute
Oct 31 09:49:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:49:14.593492 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (172.415001ms) to execute
Oct 31 09:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:49:19.858473 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (265.078629ms) to execute
Oct 31 09:50:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:50:45.316808 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (317.150001ms) to execute
Oct 31 09:51:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:51:01.070173 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (164.055614ms) to execute
Oct 31 09:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:51:04.739460 I | mvcc: store.index: compact 35146243
Oct 31 09:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:51:04.745730 I | mvcc: finished scheduled compaction at 35146243 (took 5.089818ms)
Oct 31 09:51:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:51:39.326159 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (102.170016ms) to execute
Oct 31 09:53:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:53:03.278347 I | etcdserver: start to snapshot (applied: 38814813, lastsnap: 38804812)
Oct 31 09:53:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:53:03.366952 I | etcdserver: saved snapshot at index 38814813
Oct 31 09:53:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:53:03.367782 I | etcdserver: compacted raft log at 38809813
