-- Logs begin at Mon 2019-10-07 20:18:05 UTC, end at Fri 2019-10-11 11:53:06 UTC. --
Oct 11 11:32:26 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:32:26.548541 N | compactor: Starting auto-compaction at revision 32244600
Oct 11 11:32:26 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:32:26.549055 N | compactor: Finished auto-compaction at revision 32244600
Oct 11 11:32:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:32:44.337414 I | mvcc: store.index: compact 32325794
Oct 11 11:32:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:32:44.343071 I | mvcc: finished scheduled compaction at 32325794 (took 3.785596ms)
Oct 11 11:32:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:32:44.502782 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-wjfmn\" " with result "range_response_count:1 size:2314" took too long (119.9066ms) to execute
Oct 11 11:33:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:33:12.239098 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (212.587598ms) to execute
Oct 11 11:33:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:33:12.239463 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (210.078536ms) to execute
Oct 11 11:33:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:33:12.274348 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2w674\" " with result "range_response_count:1 size:2738" took too long (220.833342ms) to execute
Oct 11 11:33:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:33:12.461885 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-operator\" " with result "range_response_count:1 size:414" took too long (152.198047ms) to execute
Oct 11 11:33:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:33:12.462840 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (152.690731ms) to execute
Oct 11 11:33:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:33:27.241643 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-p7scb\" " with result "range_response_count:1 size:2738" took too long (164.84627ms) to execute
Oct 11 11:33:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:33:27.241738 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1148" took too long (178.745934ms) to execute
Oct 11 11:33:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:33:27.273706 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (189.890824ms) to execute
Oct 11 11:34:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:34:29.476727 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (131.986053ms) to execute
Oct 11 11:34:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:34:29.476818 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/rbacs\" range_end:\"/registry/config.istio.io/rbact\" count_only:true " with result "range_response_count:0 size:7" took too long (206.111093ms) to execute
Oct 11 11:37:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:44.349833 I | mvcc: store.index: compact 32327715
Oct 11 11:37:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:44.358164 I | mvcc: finished scheduled compaction at 32327715 (took 6.512457ms)
Oct 11 11:37:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:45.893685 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.40979336s) to execute
Oct 11 11:37:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:45.893723 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listentries\" range_end:\"/registry/config.istio.io/listentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.037095756s) to execute
Oct 11 11:37:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:45.893807 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (1.512075367s) to execute
Oct 11 11:37:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:45.893984 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.25684499s) to execute
Oct 11 11:37:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:45.895053 W | etcdserver: request "header:<ID:14919138748427588847 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:32328588 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (983.551497ms) to execute
Oct 11 11:37:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:45.916777 W | wal: sync duration of 1.005959541s, expected less than 1s
Oct 11 11:37:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:45.917122 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.003190618s) to execute
Oct 11 11:37:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:45.947746 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (233.270536ms) to execute
Oct 11 11:37:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:45.948355 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lz4p2\" " with result "range_response_count:1 size:4264" took too long (211.998321ms) to execute
Oct 11 11:37:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:46.131756 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (137.936983ms) to execute
Oct 11 11:37:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:46.132001 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (139.317626ms) to execute
Oct 11 11:37:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:37:46.132281 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (139.327836ms) to execute
Oct 11 11:40:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:40:16.914540 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (199.07739ms) to execute
Oct 11 11:42:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:42:44.365044 I | mvcc: store.index: compact 32328612
Oct 11 11:42:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:42:44.371032 I | mvcc: finished scheduled compaction at 32328612 (took 4.908647ms)
Oct 11 11:47:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:47:44.376638 I | mvcc: store.index: compact 32329376
Oct 11 11:47:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 11:47:44.385363 I | mvcc: finished scheduled compaction at 32329376 (took 7.294917ms)
