-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 17:28:41 UTC. --
Oct 10 17:07:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:28.095847 W | wal: sync duration of 3.552405309s, expected less than 1s
Oct 10 17:07:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:28.099323 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (3.123673984s) to execute
Oct 10 17:07:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:28.099576 W | etcdserver: failed to revoke 4f0b6da58ec1632d ("lease not found")
Oct 10 17:07:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:28.099693 W | etcdserver: failed to revoke 4f0b6da58ec1632d ("lease not found")
Oct 10 17:07:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:28.099978 W | etcdserver: failed to revoke 4f0b6da58ec1632d ("lease not found")
Oct 10 17:07:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:28.100101 W | etcdserver: failed to revoke 4f0b6da58ec1632d ("lease not found")
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.950090 W | wal: sync duration of 1.853971909s, expected less than 1s
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.953190 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (3.551316404s) to execute
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.953264 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stdios\" range_end:\"/registry/config.istio.io/stdiot\" count_only:true " with result "range_response_count:0 size:7" took too long (3.259183978s) to execute
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.953367 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (4.530696083s) to execute
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.953546 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (2.876183058s) to execute
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.953617 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (3.395093736s) to execute
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.953871 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (2.411945048s) to execute
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.953920 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stackdrivers\" range_end:\"/registry/config.istio.io/stackdrivert\" count_only:true " with result "range_response_count:0 size:7" took too long (4.426346409s) to execute
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.954099 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (2.316999751s) to execute
Oct 10 17:07:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:29.954494 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (3.442404093s) to execute
Oct 10 17:07:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:30.362092 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/alertmanager-prometheus-operator-alertmanager\" " with result "range_response_count:1 size:645" took too long (917.081873ms) to execute
Oct 10 17:07:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:30.362422 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-public\" " with result "range_response_count:1 size:180" took too long (2.258290387s) to execute
Oct 10 17:07:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:30.375463 I | mvcc: store.index: compact 32167759
Oct 10 17:07:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:30.377140 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-operator\" " with result "range_response_count:1 size:414" took too long (409.10257ms) to execute
Oct 10 17:07:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:30.377426 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (409.467902ms) to execute
Oct 10 17:07:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:30.383028 I | mvcc: finished scheduled compaction at 32167759 (took 6.285897ms)
Oct 10 17:07:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:30.648602 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (240.751656ms) to execute
Oct 10 17:07:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:32.351199 W | wal: sync duration of 1.675680221s, expected less than 1s
Oct 10 17:07:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:32.354184 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.670402485s) to execute
Oct 10 17:07:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:32.354334 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:10" took too long (1.607993939s) to execute
Oct 10 17:07:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:32.354924 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (1.041584857s) to execute
Oct 10 17:07:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:32.354966 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (1.675542176s) to execute
Oct 10 17:07:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:32.355146 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.579619213s) to execute
Oct 10 17:07:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:33.033844 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (426.593992ms) to execute
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.904726 W | wal: sync duration of 1.267994695s, expected less than 1s
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.907369 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (805.149671ms) to execute
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.907396 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (474.122359ms) to execute
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.907640 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (868.220515ms) to execute
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.907666 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (565.968115ms) to execute
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.907852 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (1.108561653s) to execute
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.907896 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:474" took too long (591.399901ms) to execute
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.908046 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (180.016102ms) to execute
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.908156 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (620.386573ms) to execute
Oct 10 17:07:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:35.908285 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2101" took too long (591.279947ms) to execute
Oct 10 17:07:39 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:39.899031 W | wal: sync duration of 1.972310692s, expected less than 1s
Oct 10 17:07:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:40.279425 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6063" took too long (2.229127777s) to execute
Oct 10 17:07:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:40.279669 W | etcdserver: request "header:<ID:14919138748426970140 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:32169588 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (380.136709ms) to execute
Oct 10 17:07:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:40.511577 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (2.117937229s) to execute
