-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 08:28:18 UTC. --
Oct 10 08:07:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:07:21.403175 I | mvcc: store.index: compact 32065169
Oct 10 08:07:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:07:21.412132 I | mvcc: finished scheduled compaction at 32065169 (took 5.921822ms)
Oct 10 08:07:57 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:07:57.657228 I | etcdserver: start to snapshot (applied: 35424413, lastsnap: 35414412)
Oct 10 08:07:57 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:07:57.743262 I | etcdserver: saved snapshot at index 35424413
Oct 10 08:07:57 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:07:57.743673 I | etcdserver: compacted raft log at 35419413
Oct 10 08:08:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:08:23.239815 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000e-00000000021bc548.snap successfully
Oct 10 08:09:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:09:12.212191 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (568.079368ms) to execute
Oct 10 08:09:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:09:46.616629 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (131.667186ms) to execute
Oct 10 08:12:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:12:21.535149 I | mvcc: store.index: compact 32066006
Oct 10 08:12:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:12:21.537352 W | etcdserver: request "header:<ID:14919138748426592452 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:32066006 > " with result "size:7" took too long (120.22577ms) to execute
Oct 10 08:12:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:12:21.544725 I | mvcc: finished scheduled compaction at 32066006 (took 7.517385ms)
