-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 15:48:12 UTC. --
Oct 10 15:27:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:27:29.135971 I | mvcc: store.index: compact 32149933
Oct 10 15:27:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:27:29.144170 I | mvcc: finished scheduled compaction at 32149933 (took 6.818516ms)
Oct 10 15:32:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:32:05.837125 W | etcdserver: request "header:<ID:14919138748426903069 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:32151438 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5180 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (106.018391ms) to execute
Oct 10 15:32:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:32:20.171330 N | compactor: Starting auto-compaction at revision 32059231
Oct 10 15:32:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:32:20.171857 N | compactor: Finished auto-compaction at revision 32059231
Oct 10 15:32:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:32:29.170888 I | mvcc: store.index: compact 32150745
Oct 10 15:32:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:32:29.176096 I | mvcc: finished scheduled compaction at 32150745 (took 4.126548ms)
Oct 10 15:37:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:37:29.183637 I | mvcc: store.index: compact 32151523
Oct 10 15:37:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:37:29.189346 I | mvcc: finished scheduled compaction at 32151523 (took 3.970745ms)
Oct 10 15:42:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:42:29.236883 I | mvcc: store.index: compact 32152287
Oct 10 15:42:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:42:29.241176 I | mvcc: finished scheduled compaction at 32152287 (took 3.381675ms)
Oct 10 15:43:02 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:43:02.487424 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (144.861552ms) to execute
Oct 10 15:43:02 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:43:02.488325 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (120.218303ms) to execute
Oct 10 15:43:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:43:06.442114 W | wal: sync duration of 1.163266344s, expected less than 1s
Oct 10 15:43:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:43:06.445068 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.105365968s) to execute
Oct 10 15:43:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:43:06.448712 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.017477713s) to execute
Oct 10 15:43:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:43:06.448945 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (808.027518ms) to execute
Oct 10 15:43:08 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:43:08.742044 W | wal: sync duration of 1.295190949s, expected less than 1s
Oct 10 15:43:08 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:43:08.742548 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.143414801s) to execute
