-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Fri 2019-10-11 09:01:42 UTC. --
Oct 11 08:42:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:42:42.279240 I | mvcc: store.index: compact 32294011
Oct 11 08:42:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:42:42.288269 I | mvcc: finished scheduled compaction at 32294011 (took 7.039264ms)
Oct 11 08:44:18 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:44:18.317288 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (139.79583ms) to execute
Oct 11 08:47:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:47:42.372585 I | mvcc: store.index: compact 32294819
Oct 11 08:47:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:47:42.378244 I | mvcc: finished scheduled compaction at 32294819 (took 3.817967ms)
Oct 11 08:49:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:49:34.223909 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6km66\" " with result "range_response_count:1 size:1734" took too long (107.784834ms) to execute
Oct 11 08:49:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:49:38.942693 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (149.12456ms) to execute
Oct 11 08:50:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:50:04.471869 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2101" took too long (150.819902ms) to execute
Oct 11 08:50:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:50:44.580588 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (180.667631ms) to execute
Oct 11 08:50:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:50:44.580836 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-q6ccx\" " with result "range_response_count:1 size:1735" took too long (642.299838ms) to execute
Oct 11 08:52:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:52:42.432409 I | mvcc: store.index: compact 32295655
Oct 11 08:52:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:52:42.437511 I | mvcc: finished scheduled compaction at 32295655 (took 4.019367ms)
Oct 11 08:54:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:54:07.231327 W | etcdserver: request "header:<ID:14919138748427472315 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:32296546 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (221.165401ms) to execute
Oct 11 08:54:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:54:07.231481 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (199.742743ms) to execute
Oct 11 08:55:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:55:05.070980 I | etcdserver: start to snapshot (applied: 35674448, lastsnap: 35664447)
Oct 11 08:55:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:55:05.134981 I | etcdserver: saved snapshot at index 35674448
Oct 11 08:55:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:55:05.135219 I | etcdserver: compacted raft log at 35669448
Oct 11 08:55:25 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:55:25.721748 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000e-00000000021f95fb.snap successfully
Oct 11 08:57:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:57:42.446899 I | mvcc: store.index: compact 32296355
Oct 11 08:57:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:57:42.453343 I | mvcc: finished scheduled compaction at 32296355 (took 5.260641ms)
Oct 11 08:57:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 08:57:42.607079 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (102.007842ms) to execute
