-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 07:13:08 UTC. --
Oct 10 06:52:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:52:06.966112 I | mvcc: store.index: compact 32049463
Oct 10 06:52:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:52:06.972223 I | mvcc: finished scheduled compaction at 32049463 (took 3.304525ms)
Oct 10 06:52:55 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:52:55.736644 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (309.238587ms) to execute
Oct 10 06:53:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:53:29.390728 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (319.531917ms) to execute
Oct 10 06:53:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:53:29.391158 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-vfbcp.15cc3698a1680aa9\" " with result "range_response_count:1 size:591" took too long (402.526107ms) to execute
Oct 10 06:53:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:53:30.624733 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (450.733027ms) to execute
Oct 10 06:53:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:53:30.624922 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (132.763984ms) to execute
Oct 10 06:57:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:57:06.980517 I | mvcc: store.index: compact 32050898
Oct 10 06:57:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:57:06.989928 I | mvcc: finished scheduled compaction at 32050898 (took 6.709618ms)
Oct 10 06:57:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:57:07.465076 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (209.273307ms) to execute
Oct 10 06:57:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:57:07.465194 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (375.305536ms) to execute
Oct 10 06:57:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:57:07.465337 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (318.649146ms) to execute
Oct 10 06:59:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:59:27.910921 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (241.973244ms) to execute
Oct 10 06:59:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 06:59:33.733002 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (356.910373ms) to execute
