-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 17:01:17 UTC. --
Oct 10 16:42:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:42:29.569495 I | mvcc: store.index: compact 32162535
Oct 10 16:42:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:42:29.577484 I | mvcc: finished scheduled compaction at 32162535 (took 5.237314ms)
Oct 10 16:42:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:42:29.821445 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (206.532322ms) to execute
Oct 10 16:42:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:42:29.821536 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (203.374919ms) to execute
Oct 10 16:42:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:42:38.524186 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (641.086856ms) to execute
Oct 10 16:43:58 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:43:58.741891 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (469.664569ms) to execute
Oct 10 16:44:36 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:44:36.636973 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (193.97074ms) to execute
Oct 10 16:44:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:44:40.078953 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bkxks\" " with result "range_response_count:1 size:1622" took too long (143.018099ms) to execute
Oct 10 16:44:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:44:40.079412 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-bkxks.15cc56d9041e004e\" " with result "range_response_count:1 size:591" took too long (143.224724ms) to execute
Oct 10 16:44:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:44:43.547280 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (402.733679ms) to execute
Oct 10 16:44:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:44:43.547590 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (167.536199ms) to execute
Oct 10 16:45:02 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:02.982208 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (375.738135ms) to execute
Oct 10 16:45:02 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:02.982367 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (219.985231ms) to execute
Oct 10 16:45:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:04.926433 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-wbdnw.15cc56b01df897e3\" " with result "range_response_count:1 size:587" took too long (402.579559ms) to execute
Oct 10 16:45:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:04.926480 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jfh9x.15cc56add2d3243c\" " with result "range_response_count:1 size:592" took too long (877.246725ms) to execute
Oct 10 16:45:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:04.926534 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (753.181681ms) to execute
Oct 10 16:45:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:07.486216 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (128.023416ms) to execute
Oct 10 16:45:09 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:09.252236 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (242.867897ms) to execute
Oct 10 16:45:09 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:09.252358 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g9kkm\" " with result "range_response_count:1 size:1744" took too long (362.505626ms) to execute
Oct 10 16:45:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:12.014569 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (337.487583ms) to execute
Oct 10 16:45:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:12.022382 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-vb9b2.15cc56c6d17f5344\" " with result "range_response_count:1 size:592" took too long (294.570832ms) to execute
Oct 10 16:45:13 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:13.013846 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (408.092773ms) to execute
Oct 10 16:45:13 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:13.014473 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (155.120873ms) to execute
Oct 10 16:45:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:37.712585 W | etcdserver: request "header:<ID:14919138748426955318 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-jfh9x.15cc56eb2d1c110d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-jfh9x.15cc56eb2d1c110d\" value_size:462 lease:5695766711572179362 >> failure:<>>" with result "size:20" took too long (141.125377ms) to execute
Oct 10 16:45:39 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:39.762628 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (325.751717ms) to execute
Oct 10 16:45:39 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:39.763216 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (272.427695ms) to execute
Oct 10 16:45:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:42.320152 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (133.15187ms) to execute
Oct 10 16:45:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:43.018639 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (412.735493ms) to execute
Oct 10 16:45:50 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:50.665216 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (233.14605ms) to execute
Oct 10 16:45:53 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:53.734692 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (220.009872ms) to execute
Oct 10 16:45:53 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:45:53.734808 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (170.944249ms) to execute
