-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 19:30:16 UTC. --
Oct 10 19:12:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:12:34.352963 I | mvcc: store.index: compact 32190884
Oct 10 19:12:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:12:34.360997 I | mvcc: finished scheduled compaction at 32190884 (took 6.622225ms)
Oct 10 19:13:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:13:16.814391 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (230.723346ms) to execute
Oct 10 19:13:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:13:16.814735 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (231.223554ms) to execute
Oct 10 19:13:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:13:16.814988 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (230.027076ms) to execute
Oct 10 19:13:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:13:16.815241 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (231.391246ms) to execute
Oct 10 19:13:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:13:16.815531 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (231.865355ms) to execute
Oct 10 19:13:19 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:13:19.466920 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (300.311786ms) to execute
Oct 10 19:17:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:17:34.436272 I | mvcc: store.index: compact 32192302
Oct 10 19:17:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:17:34.444209 I | mvcc: finished scheduled compaction at 32192302 (took 6.266108ms)
Oct 10 19:17:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:17:34.912891 W | etcdserver: request "header:<ID:14919138748427059872 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:32193283 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5180 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (284.626643ms) to execute
Oct 10 19:20:56 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:20:56.456014 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vhzb5\" " with result "range_response_count:1 size:1735" took too long (106.128152ms) to execute
Oct 10 19:22:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:22:34.452298 I | mvcc: store.index: compact 32193316
Oct 10 19:22:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:22:34.461228 I | mvcc: finished scheduled compaction at 32193316 (took 7.667109ms)
Oct 10 19:22:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:22:34.683798 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gqcjp\" " with result "range_response_count:1 size:1987" took too long (147.469381ms) to execute
Oct 10 19:22:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:22:34.684478 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (166.565782ms) to execute
Oct 10 19:22:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:22:42.976333 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (255.886926ms) to execute
Oct 10 19:22:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:22:42.976697 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (370.803365ms) to execute
Oct 10 19:22:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:22:42.976935 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (252.503961ms) to execute
Oct 10 19:23:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:23:54.137251 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (136.228556ms) to execute
Oct 10 19:23:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:23:54.137464 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (106.345522ms) to execute
Oct 10 19:23:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:23:54.138393 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (142.558151ms) to execute
Oct 10 19:24:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 19:24:22.019451 W | etcdserver: request "header:<ID:14919138748427063870 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-cr9rw\" mod_revision:32194458 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-cr9rw\" value_size:1774 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-cr9rw\" > >>" with result "size:20" took too long (139.959289ms) to execute
