-- Logs begin at Mon 2019-10-07 20:18:05 UTC, end at Fri 2019-10-11 12:41:13 UTC. --
Oct 11 12:22:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:22:44.653135 I | mvcc: store.index: compact 32334571
Oct 11 12:22:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:22:44.659550 I | mvcc: finished scheduled compaction at 32334571 (took 4.722311ms)
Oct 11 12:27:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:27:44.732337 I | mvcc: store.index: compact 32336197
Oct 11 12:27:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:27:44.744064 I | mvcc: finished scheduled compaction at 32336197 (took 9.483173ms)
Oct 11 12:27:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:27:45.213456 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (108.671851ms) to execute
Oct 11 12:27:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:27:45.213592 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (442.253251ms) to execute
Oct 11 12:27:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:27:45.213783 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (367.418534ms) to execute
Oct 11 12:27:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:27:45.236506 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (104.347757ms) to execute
Oct 11 12:32:26 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:32:26.552303 N | compactor: Starting auto-compaction at revision 32250536
Oct 11 12:32:26 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:32:26.552945 N | compactor: Finished auto-compaction at revision 32250536
Oct 11 12:32:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:32:44.832573 I | mvcc: store.index: compact 32337183
Oct 11 12:32:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:32:44.839743 I | mvcc: finished scheduled compaction at 32337183 (took 5.357602ms)
Oct 11 12:35:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:35:27.546405 W | etcdserver: request "header:<ID:14919138748427629161 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:32338566 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695766711572853351 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (299.598775ms) to execute
Oct 11 12:35:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:35:27.546568 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (158.0854ms) to execute
Oct 11 12:36:10 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:36:10.241150 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tgxz6\" " with result "range_response_count:1 size:1853" took too long (412.239448ms) to execute
Oct 11 12:36:10 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:36:10.247922 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (305.30429ms) to execute
Oct 11 12:36:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:36:22.956902 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (200.601718ms) to execute
Oct 11 12:36:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:36:22.957044 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (203.107743ms) to execute
Oct 11 12:37:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:37:12.686972 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (112.319862ms) to execute
Oct 11 12:37:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:37:44.904227 I | mvcc: store.index: compact 32338039
Oct 11 12:37:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-11 12:37:44.912219 I | mvcc: finished scheduled compaction at 32338039 (took 6.866785ms)
