-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 10:05:03 UTC. --
Feb 01 09:41:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:41:58.579998 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000073c-00000000037b5c72.wal successfully
Feb 01 09:41:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:41:59.740944 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76.15ef3c8219208e00\" " with result "range_response_count:1 size:516" took too long (106.411339ms) to execute
Feb 01 09:42:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:00.332946 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-r7k82.15ef3cb7601e4253\" " with result "range_response_count:1 size:567" took too long (109.232117ms) to execute
Feb 01 09:42:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:00.918906 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-pilot.15ef3c8d719f9b2e\" " with result "range_response_count:1 size:525" took too long (101.569873ms) to execute
Feb 01 09:42:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:01.331948 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-sidecar-injector.15ef3c82ba97bb4b\" " with result "range_response_count:1 size:503" took too long (112.972923ms) to execute
Feb 01 09:42:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:02.849888 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z7v82\" " with result "range_response_count:1 size:1118" took too long (128.734989ms) to execute
Feb 01 09:42:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:02.868689 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (136.833677ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.193210 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (134.995185ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.216897 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m28qk\" " with result "range_response_count:1 size:1121" took too long (110.528665ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.217116 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b47q2\" " with result "range_response_count:1 size:1121" took too long (138.9305ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.217330 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (148.293295ms) to execute
