-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 08:10:10 UTC. --
Nov 02 07:48:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:01.368331 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (553.852408ms) to execute
Nov 02 07:48:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:01.368570 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (449.100889ms) to execute
Nov 02 07:48:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:10.186952 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (460.778059ms) to execute
Nov 02 07:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:34.997195 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (563.591713ms) to execute
Nov 02 07:48:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:43.963564 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (633.139201ms) to execute
Nov 02 07:48:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:43.968768 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (586.871546ms) to execute
Nov 02 07:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:54.983785 W | wal: sync duration of 1.003336209s, expected less than 1s
Nov 02 07:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:54.991125 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (974.122283ms) to execute
Nov 02 07:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:54.991266 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (912.542357ms) to execute
Nov 02 07:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:54.991394 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (572.583119ms) to execute
Nov 02 07:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:05.416730 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (380.734664ms) to execute
Nov 02 07:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:05.416988 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (270.729731ms) to execute
Nov 02 07:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:05.417467 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (127.744077ms) to execute
Nov 02 07:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:05.417654 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (199.801845ms) to execute
Nov 02 07:49:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:27.663805 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (148.539393ms) to execute
Nov 02 07:49:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:38.538349 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rdc76\" " with result "range_response_count:1 size:1118" took too long (150.837893ms) to execute
Nov 02 07:49:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:38.538696 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wwz7n\" " with result "range_response_count:1 size:1121" took too long (152.331896ms) to execute
