-- Logs begin at Sat 2019-10-26 21:27:07 UTC, end at Thu 2019-10-31 22:45:20 UTC. --
Oct 31 22:24:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:24:40.461779 W | etcdserver: request "header:<ID:14919139277656747042 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d2db7f88e8f086\" mod_revision:35266484 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d2db7f88e8f086\" value_size:386 lease:5695767240801971215 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d2db7f88e8f086\" > >>" with result "size:20" took too long (100.623074ms) to execute
Oct 31 22:24:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:24:40.692349 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d2db7f88e8f086\" " with result "range_response_count:1 size:485" took too long (162.919896ms) to execute
Oct 31 22:24:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:24:40.692556 W | etcdserver: request "header:<ID:14919139277656747063 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-wshvt.15d2db9b6d59f62f\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-wshvt.15d2db9b6d59f62f\" value_size:389 lease:5695767240801971215 >> failure:<>>" with result "size:20" took too long (129.6069ms) to execute
Oct 31 22:24:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:24:40.707826 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wshvt\" " with result "range_response_count:1 size:1118" took too long (153.708319ms) to execute
Oct 31 22:25:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:11.620150 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (122.000219ms) to execute
Oct 31 22:25:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:11.620553 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (157.942624ms) to execute
Oct 31 22:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:25.773614 I | etcdserver: start to snapshot (applied: 38944827, lastsnap: 38934826)
Oct 31 22:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:25.933807 I | etcdserver: saved snapshot at index 38944827
Oct 31 22:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:25.934191 I | etcdserver: compacted raft log at 38939827
Oct 31 22:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:26.837073 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (159.97359ms) to execute
Oct 31 22:25:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:32.189454 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (478.546687ms) to execute
Oct 31 22:25:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:32.189564 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-cdscd.15d2db7f72b7343b\" " with result "range_response_count:1 size:558" took too long (556.773453ms) to execute
Oct 31 22:25:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:32.189634 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (398.729016ms) to execute
Oct 31 22:25:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:32.189722 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:34725" took too long (507.356756ms) to execute
Oct 31 22:25:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:32.190041 W | etcdserver: request "header:<ID:14919139277656747577 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:35267014 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (251.784019ms) to execute
Oct 31 22:25:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:32.767023 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002517ce6.snap successfully
Oct 31 22:25:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 22:25:32.818566 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (126.001617ms) to execute
