-- Logs begin at Tue 2019-11-05 22:19:11 UTC, end at Fri 2019-11-08 19:54:46 UTC. --
Nov 08 19:34:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:34:06.635962 I | mvcc: store.index: compact 37099554
Nov 08 19:34:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:34:06.641436 I | mvcc: finished scheduled compaction at 37099554 (took 4.353744ms)
Nov 08 19:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:34:17.204996 W | etcdserver: request "header:<ID:14919139277664020728 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-jcnqk\" mod_revision:37100286 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-jcnqk\" value_size:2870 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-jcnqk\" > >>" with result "size:20" took too long (109.486772ms) to execute
Nov 08 19:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:35:17.342558 W | etcdserver: request "header:<ID:14919139277664021386 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-js64j.15d54701a38b7d2d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-js64j.15d54701a38b7d2d\" value_size:392 lease:5695767240809245558 >> failure:<>>" with result "size:20" took too long (125.456322ms) to execute
Nov 08 19:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:35:17.342922 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (137.285162ms) to execute
Nov 08 19:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:35:17.343217 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/dogstatsds\" range_end:\"/registry/config.istio.io/dogstatsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (139.043511ms) to execute
Nov 08 19:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:35:17.343929 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (136.056628ms) to execute
Nov 08 19:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:35:17.344126 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (136.471592ms) to execute
Nov 08 19:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:35:17.344632 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (136.98776ms) to execute
Nov 08 19:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:35:17.344868 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (108.002213ms) to execute
Nov 08 19:36:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:36:17.405415 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (129.737418ms) to execute
Nov 08 19:36:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:36:17.440617 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (164.870766ms) to execute
Nov 08 19:36:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:36:17.440676 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (165.009286ms) to execute
Nov 08 19:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:36:23.898930 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (587.010996ms) to execute
Nov 08 19:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:36:23.900878 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (505.657643ms) to execute
Nov 08 19:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:36:23.900904 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (107.112396ms) to execute
Nov 08 19:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:36:23.901027 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (420.275023ms) to execute
Nov 08 19:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:36:23.901174 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (156.1434ms) to execute
Nov 08 19:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:36:23.902192 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (397.247634ms) to execute
Nov 08 19:39:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:39:06.648504 I | mvcc: store.index: compact 37100260
Nov 08 19:39:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:39:06.654459 I | mvcc: finished scheduled compaction at 37100260 (took 4.743386ms)
Nov 08 19:39:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:39:06.875751 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (153.119478ms) to execute
Nov 08 19:44:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:44:06.662702 I | mvcc: store.index: compact 37100893
Nov 08 19:44:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:44:06.668927 I | mvcc: finished scheduled compaction at 37100893 (took 4.682332ms)
Nov 08 19:45:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:45:12.219844 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:31144" took too long (306.318464ms) to execute
Nov 08 19:45:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:45:12.237440 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (131.854993ms) to execute
Nov 08 19:45:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:45:55.309905 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (171.801722ms) to execute
