-- Logs begin at Thu 2019-10-31 07:39:49 UTC, end at Sat 2019-11-02 23:00:34 UTC. --
Nov 02 22:39:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:39:29.171923 W | etcdserver: request "header:<ID:14919139277658647425 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-cwjsk.15d379936f521eb1\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-cwjsk.15d379936f521eb1\" value_size:392 lease:5695767240803871536 >> failure:<>>" with result "size:20" took too long (129.393228ms) to execute
Nov 02 22:39:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:39:29.191138 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cwjsk\" " with result "range_response_count:1 size:1121" took too long (148.259372ms) to execute
Nov 02 22:39:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:39:29.390206 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d379778f32649d\" " with result "range_response_count:1 size:485" took too long (118.218708ms) to execute
Nov 02 22:39:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:39:29.390388 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (117.041414ms) to execute
Nov 02 22:41:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:41:54.251005 I | mvcc: store.index: compact 35753007
Nov 02 22:41:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:41:54.256313 I | mvcc: finished scheduled compaction at 35753007 (took 3.851088ms)
Nov 02 22:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:42:42.076452 W | wal: sync duration of 1.453287928s, expected less than 1s
Nov 02 22:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:42:42.079109 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p22qn\" " with result "range_response_count:1 size:1735" took too long (1.055458194s) to execute
Nov 02 22:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:42:42.085730 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (198.649222ms) to execute
Nov 02 22:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:42:42.085841 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (448.180878ms) to execute
Nov 02 22:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:42:42.086166 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-p22qn.15d3799a16541207\" " with result "range_response_count:1 size:589" took too long (1.061334511s) to execute
Nov 02 22:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:42:42.086224 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (676.637213ms) to execute
Nov 02 22:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:42:42.086679 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (772.776737ms) to execute
Nov 02 22:43:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:43:31.148682 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (298.207387ms) to execute
Nov 02 22:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:46:11.382209 N | compactor: Starting auto-compaction at revision 35675414
Nov 02 22:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:46:11.382651 N | compactor: Finished auto-compaction at revision 35675414
Nov 02 22:46:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:46:54.263898 I | mvcc: store.index: compact 35754019
Nov 02 22:46:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:46:54.272944 I | mvcc: finished scheduled compaction at 35754019 (took 7.90998ms)
Nov 02 22:46:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:46:54.596271 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (254.558364ms) to execute
Nov 02 22:46:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:46:54.596443 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (271.939381ms) to execute
Nov 02 22:46:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:46:54.596641 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (235.220061ms) to execute
Nov 02 22:48:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:48:31.790720 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (453.965269ms) to execute
Nov 02 22:51:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:51:54.275682 I | mvcc: store.index: compact 35754710
Nov 02 22:51:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:51:54.280781 I | mvcc: finished scheduled compaction at 35754710 (took 4.174183ms)
Nov 02 22:56:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:56:54.288865 I | mvcc: store.index: compact 35755427
Nov 02 22:56:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:56:54.296623 I | mvcc: finished scheduled compaction at 35755427 (took 5.663817ms)
