-- Logs begin at Thu 2019-10-24 21:08:27 UTC, end at Thu 2019-10-31 11:11:23 UTC. --
Oct 31 10:51:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:51:05.083027 I | mvcc: store.index: compact 35155782
Oct 31 10:51:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:51:05.089589 I | mvcc: finished scheduled compaction at 35155782 (took 4.632271ms)
Oct 31 10:52:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:52:02.045344 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (153.402966ms) to execute
Oct 31 10:56:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:56:05.105306 I | mvcc: store.index: compact 35157733
Oct 31 10:56:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:56:05.116826 I | mvcc: finished scheduled compaction at 35157733 (took 9.473428ms)
Oct 31 10:56:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:56:05.732036 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (455.208458ms) to execute
Oct 31 10:56:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:56:05.732177 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (147.061801ms) to execute
Oct 31 10:56:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:56:05.732507 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (423.77188ms) to execute
Oct 31 11:01:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:01:05.137974 I | mvcc: store.index: compact 35158572
Oct 31 11:01:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:01:05.144151 I | mvcc: finished scheduled compaction at 35158572 (took 4.634353ms)
Oct 31 11:01:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:01:05.388624 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (140.208061ms) to execute
Oct 31 11:02:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:02:25.723743 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (199.528468ms) to execute
Oct 31 11:06:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:06:01.256871 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4dcnz\" " with result "range_response_count:1 size:1854" took too long (121.651407ms) to execute
Oct 31 11:06:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:06:05.149777 I | mvcc: store.index: compact 35159349
Oct 31 11:06:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:06:05.156837 I | mvcc: finished scheduled compaction at 35159349 (took 5.814951ms)
Oct 31 11:06:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:06:05.396546 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (128.794884ms) to execute
Oct 31 11:06:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:06:26.652653 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (135.338297ms) to execute
Oct 31 11:06:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:06:48.979825 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (215.710829ms) to execute
Oct 31 11:06:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:06:51.264681 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (275.969089ms) to execute
Oct 31 11:07:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:07:27.244069 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (218.012827ms) to execute
Oct 31 11:07:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:07:59.160461 W | etcdserver: request "header:<ID:14919139277656346661 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35160412 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (458.13166ms) to execute
Oct 31 11:07:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:07:59.160614 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (163.336708ms) to execute
Oct 31 11:07:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:07:59.160683 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (122.742993ms) to execute
Oct 31 11:08:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:08:09.517584 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (275.582482ms) to execute
Oct 31 11:08:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:08:09.517686 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (299.923233ms) to execute
Oct 31 11:08:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:08:09.517841 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (299.53664ms) to execute
Oct 31 11:08:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:08:09.518519 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4dcnz\" " with result "range_response_count:1 size:1734" took too long (317.256473ms) to execute
Oct 31 11:08:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:08:17.794713 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (164.30888ms) to execute
Oct 31 11:08:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 11:08:40.175805 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qbfxx\" " with result "range_response_count:1 size:1850" took too long (137.432386ms) to execute
