-- Logs begin at Fri 2019-11-01 06:45:16 UTC, end at Mon 2019-11-04 00:32:50 UTC. --
Nov 04 00:12:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:12:26.971819 I | mvcc: store.index: compact 35971936
Nov 04 00:12:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:12:26.977546 I | mvcc: finished scheduled compaction at 35971936 (took 4.808985ms)
Nov 04 00:12:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:12:36.237671 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cj79d\" " with result "range_response_count:1 size:1121" took too long (134.864024ms) to execute
Nov 04 00:12:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:12:36.237720 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tjsxs\" " with result "range_response_count:1 size:1118" took too long (141.519062ms) to execute
Nov 04 00:12:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:12:36.237750 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bw575\" " with result "range_response_count:1 size:1121" took too long (142.570628ms) to execute
Nov 04 00:12:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:12:36.237830 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (134.807639ms) to execute
Nov 04 00:12:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:12:36.238055 W | etcdserver: request "header:<ID:14919139277659625425 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-jk2hb.15d3cd3cd771ff0a\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-jk2hb.15d3cd3cd771ff0a\" value_size:392 lease:5695767240804849350 >> failure:<>>" with result "size:20" took too long (134.522052ms) to execute
Nov 04 00:13:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:13:51.846861 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (195.527095ms) to execute
Nov 04 00:13:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:13:51.850312 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xcbmd\" " with result "range_response_count:1 size:1958" took too long (159.377699ms) to execute
Nov 04 00:13:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:13:51.850611 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-xcbmd.15d3cd192d20e22f\" " with result "range_response_count:1 size:547" took too long (156.163465ms) to execute
Nov 04 00:16:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 00:16:08.796045 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-drdfn\" " with result "range_response_count:1 size:1731" took too long (131.873366ms) to execute
