-- Logs begin at Wed 2019-09-25 21:44:06 UTC, end at Fri 2019-09-27 13:23:22 UTC. --
Sep 27 13:01:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:01:39.198792 I | mvcc: store.index: compact 30537471
Sep 27 13:01:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:01:39.211618 I | mvcc: finished scheduled compaction at 30537471 (took 11.012533ms)
Sep 27 13:01:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:01:39.384958 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (160.215028ms) to execute
Sep 27 13:01:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:01:39.385134 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway.15c84d1fd17e9280\" " with result "range_response_count:1 size:553" took too long (167.019106ms) to execute
Sep 27 13:01:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:01:56.892664 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (125.50075ms) to execute
Sep 27 13:01:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:01:56.892763 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecbindings\" range_end:\"/registry/config.istio.io/quotaspecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (348.925007ms) to execute
Sep 27 13:01:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:01:58.203667 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (181.906828ms) to execute
Sep 27 13:02:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:02:24.933656 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (233.798706ms) to execute
Sep 27 13:02:38 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:02:38.170539 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (149.778537ms) to execute
Sep 27 13:02:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:02:53.839019 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (277.24831ms) to execute
Sep 27 13:02:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:02:53.839073 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-cvvpw\" " with result "range_response_count:1 size:2448" took too long (680.032886ms) to execute
Sep 27 13:02:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:02:53.839167 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (108.030252ms) to execute
Sep 27 13:02:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:02:53.839293 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (199.561634ms) to execute
Sep 27 13:03:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:03:00.891946 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (124.660142ms) to execute
