-- Logs begin at Thu 2019-09-26 03:22:32 UTC, end at Fri 2019-09-27 21:05:08 UTC. --
Sep 27 20:43:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:43:13.616863 W | etcdserver: request "header:<ID:14919135698845634161 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-q5zbr.15c8664ce238f81d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-q5zbr.15c8664ce238f81d\" value_size:367 lease:5695763661990857962 >> failure:<>>" with result "size:20" took too long (104.745799ms) to execute
Sep 27 20:43:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:43:13.617743 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wqtxg\" " with result "range_response_count:1 size:3754" took too long (105.703491ms) to execute
Sep 27 20:44:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:44:09.489039 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (128.451952ms) to execute
Sep 27 20:44:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:44:25.305410 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stackdrivers\" range_end:\"/registry/config.istio.io/stackdrivert\" count_only:true " with result "range_response_count:0 size:7" took too long (289.810931ms) to execute
Sep 27 20:44:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:44:25.306110 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (208.751134ms) to execute
Sep 27 20:44:36 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:44:36.733436 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (458.350532ms) to execute
Sep 27 20:44:36 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:44:36.733570 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (346.501242ms) to execute
Sep 27 20:44:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:44:43.672085 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (109.890953ms) to execute
Sep 27 20:44:49 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:44:49.751428 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (103.109732ms) to execute
Sep 27 20:45:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:45:15.729905 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (204.826927ms) to execute
Sep 27 20:45:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:45:15.730056 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (368.526642ms) to execute
Sep 27 20:45:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:45:24.968572 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (212.800594ms) to execute
Sep 27 20:45:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:45:24.968777 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/checknothings\" range_end:\"/registry/config.istio.io/checknothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (102.662624ms) to execute
Sep 27 20:45:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:45:29.818915 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (115.480687ms) to execute
Sep 27 20:45:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:45:29.818948 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (159.79124ms) to execute
Sep 27 20:45:30 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:45:30.037281 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (110.748332ms) to execute
Sep 27 20:46:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:01.367045 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/memquotas\" range_end:\"/registry/config.istio.io/memquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (239.237448ms) to execute
Sep 27 20:46:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:01.367095 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (139.685349ms) to execute
Sep 27 20:46:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:01.367303 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (402.82732ms) to execute
Sep 27 20:46:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:10.382888 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (383.525486ms) to execute
Sep 27 20:46:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:10.383175 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (339.700178ms) to execute
Sep 27 20:46:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:10.383263 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (361.699879ms) to execute
Sep 27 20:46:16 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:16.757512 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5394" took too long (165.874799ms) to execute
Sep 27 20:46:16 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:16.757563 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (192.278157ms) to execute
Sep 27 20:46:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:21.912103 W | etcdserver: request "header:<ID:14919135698845636284 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:30627121 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4301 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (405.803553ms) to execute
Sep 27 20:46:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:23.299115 W | etcdserver: request "header:<ID:14919135698845636293 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:30627126 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:5886 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (725.533736ms) to execute
Sep 27 20:46:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:23.299559 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-citadel-service-account-token-2ncwc\" " with result "range_response_count:1 size:2447" took too long (670.756067ms) to execute
Sep 27 20:46:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:23.299914 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4376" took too long (485.681452ms) to execute
Sep 27 20:46:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:23.300256 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-mixer-service-account-token-7jhhk\" " with result "range_response_count:1 size:2433" took too long (399.728695ms) to execute
Sep 27 20:46:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:26.398018 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (216.418893ms) to execute
Sep 27 20:46:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:26.398238 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (798.112546ms) to execute
Sep 27 20:46:27 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:27.586446 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (107.161796ms) to execute
Sep 27 20:46:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:34.833210 W | etcdserver: request "header:<ID:14919135698845636413 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30627146 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (106.275454ms) to execute
Sep 27 20:46:36 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:36.808035 W | etcdserver: request "header:<ID:14919135698845636429 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:30627149 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (191.363214ms) to execute
Sep 27 20:46:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:39.861658 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-cvvpw\" " with result "range_response_count:1 size:2448" took too long (166.190839ms) to execute
Sep 27 20:46:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:41.839124 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (178.455364ms) to execute
Sep 27 20:46:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:45.437317 I | mvcc: store.index: compact 30626295
Sep 27 20:46:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:45.443643 I | mvcc: finished scheduled compaction at 30626295 (took 4.625886ms)
Sep 27 20:46:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:46:45.679833 W | etcdserver: request "header:<ID:14919135698845636513 > lease_revoke:<id:4f0b6adf858b171b>" with result "size:29" took too long (136.6115ms) to execute
Sep 27 20:51:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:51:45.479268 I | mvcc: store.index: compact 30627186
Sep 27 20:51:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:51:45.486080 I | mvcc: finished scheduled compaction at 30627186 (took 5.374067ms)
Sep 27 20:56:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:56:45.492209 I | mvcc: store.index: compact 30627824
Sep 27 20:56:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:56:45.500198 I | mvcc: finished scheduled compaction at 30627824 (took 6.477245ms)
Sep 27 21:01:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:01:45.507394 I | mvcc: store.index: compact 30628412
Sep 27 21:01:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:01:45.513655 I | mvcc: finished scheduled compaction at 30628412 (took 4.822161ms)
