-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 07:45:08 UTC. --
Nov 07 07:23:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:23:30.738587 I | mvcc: store.index: compact 36736156
Nov 07 07:23:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:23:30.746326 I | mvcc: finished scheduled compaction at 36736156 (took 5.409079ms)
Nov 07 07:26:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:26:23.035223 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000528-00000000026a8788.wal is created
Nov 07 07:26:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:26:42.143544 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000523-0000000002680f1c.wal successfully
Nov 07 07:28:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:28:30.754735 I | mvcc: store.index: compact 36736851
Nov 07 07:28:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:28:30.761911 I | mvcc: finished scheduled compaction at 36736851 (took 5.525964ms)
Nov 07 07:31:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:31:02.222024 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (143.897672ms) to execute
Nov 07 07:31:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:31:02.222162 W | etcdserver: request "header:<ID:14919139277662589273 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-lnpz2.15d4d0e76303d22b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-lnpz2.15d4d0e76303d22b\" value_size:392 lease:5695767240807813450 >> failure:<>>" with result "size:20" took too long (129.403144ms) to execute
Nov 07 07:31:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:31:02.237642 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (154.943777ms) to execute
Nov 07 07:31:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:31:02.237740 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lnpz2\" " with result "range_response_count:1 size:2946" took too long (132.149942ms) to execute
Nov 07 07:31:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:31:02.237991 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (155.430431ms) to execute
Nov 07 07:31:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:31:02.238017 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (155.129257ms) to execute
Nov 07 07:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:32:12.364203 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (205.884161ms) to execute
Nov 07 07:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:32:12.364539 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/reportnothings\" range_end:\"/registry/config.istio.io/reportnothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (361.981977ms) to execute
