-- Logs begin at Wed 2019-09-25 08:50:03 UTC, end at Fri 2019-09-27 12:34:48 UTC. --
Sep 27 12:12:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:12:57.021283 W | etcdserver: request "header:<ID:14919135698845279265 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:30530020 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5180 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (318.502496ms) to execute
Sep 27 12:12:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:12:59.404343 W | etcdserver: request "header:<ID:14919135698845279273 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:30530041 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (747.702274ms) to execute
Sep 27 12:13:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:02.857881 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (131.080196ms) to execute
Sep 27 12:13:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:02.895876 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (165.041027ms) to execute
Sep 27 12:13:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:02.895920 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v6tf5\" " with result "range_response_count:1 size:1118" took too long (157.225521ms) to execute
Sep 27 12:13:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:02.895999 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m287k\" " with result "range_response_count:1 size:1121" took too long (159.398045ms) to execute
Sep 27 12:13:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:02.896091 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (166.139467ms) to execute
Sep 27 12:13:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:02.896157 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (168.368424ms) to execute
Sep 27 12:13:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:02.896260 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (167.575323ms) to execute
Sep 27 12:13:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:02.896350 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (167.902971ms) to execute
Sep 27 12:13:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:02.897429 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dhkhk\" " with result "range_response_count:1 size:1121" took too long (162.153772ms) to execute
Sep 27 12:13:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:03.086433 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wc8tl\" " with result "range_response_count:1 size:1121" took too long (153.185547ms) to execute
Sep 27 12:13:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:03.087281 W | etcdserver: request "header:<ID:14919135698845279360 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15c84a7fc26e93eb\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15c84a7fc26e93eb\" value_size:354 lease:5695763661990503503 >> failure:<>>" with result "size:20" took too long (125.638147ms) to execute
Sep 27 12:13:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:03.103043 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (156.364723ms) to execute
Sep 27 12:13:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:03.103220 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p8cwv\" " with result "range_response_count:1 size:1121" took too long (154.918026ms) to execute
Sep 27 12:13:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:03.107185 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7wk7b\" " with result "range_response_count:1 size:1118" took too long (139.980644ms) to execute
Sep 27 12:13:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:03.384020 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (155.325962ms) to execute
Sep 27 12:13:04 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:04.109486 W | etcdserver: request "header:<ID:14919135698845279387 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-p8cwv.15c84a760d2ea16a\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-p8cwv.15c84a760d2ea16a\" value_size:445 lease:5695763661990503503 >> failure:<>>" with result "size:20" took too long (107.708669ms) to execute
Sep 27 12:13:04 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:04.597129 W | etcdserver: request "header:<ID:14919135698845279400 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-dhkhk.15c84a762106c039\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-dhkhk.15c84a762106c039\" value_size:363 lease:5695763661990503503 >> failure:<>>" with result "size:20" took too long (263.373666ms) to execute
Sep 27 12:13:04 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:04.597479 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (225.501458ms) to execute
Sep 27 12:13:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:05.618170 W | etcdserver: request "header:<ID:14919135698845279438 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-m287k.15c84a75a9da55c1\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-m287k.15c84a75a9da55c1\" value_size:363 lease:5695763661990503503 >> failure:<>>" with result "size:20" took too long (402.602446ms) to execute
Sep 27 12:13:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:06.551935 W | etcdserver: request "header:<ID:14919135698845279454 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-v6tf5.15c84a7557a2503c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-v6tf5.15c84a7557a2503c\" value_size:360 lease:5695763661990503503 >> failure:<>>" with result "size:20" took too long (533.857367ms) to execute
Sep 27 12:13:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:06.552325 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v6tf5\" " with result "range_response_count:1 size:1498" took too long (331.79603ms) to execute
Sep 27 12:13:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:10.150554 W | etcdserver: request "header:<ID:14919135698845279482 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:30530069 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5319 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (614.493892ms) to execute
Sep 27 12:13:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:10.150771 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-cvvpw\" " with result "range_response_count:1 size:2448" took too long (456.641571ms) to execute
Sep 27 12:13:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:10.150972 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6nglf\" " with result "range_response_count:1 size:1743" took too long (423.585137ms) to execute
Sep 27 12:13:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:10.721724 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wc8tl\" " with result "range_response_count:1 size:1743" took too long (123.614973ms) to execute
Sep 27 12:13:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:10.996421 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p8cwv\" " with result "range_response_count:1 size:1744" took too long (149.772552ms) to execute
Sep 27 12:13:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:10.996472 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-hb46f\" " with result "range_response_count:1 size:2434" took too long (168.943411ms) to execute
Sep 27 12:13:11 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:11.686212 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v6tf5\" " with result "range_response_count:1 size:1740" took too long (217.586044ms) to execute
Sep 27 12:13:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:12.147421 W | etcdserver: request "header:<ID:14919135698845279535 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:30530222 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:1592 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (359.518253ms) to execute
Sep 27 12:13:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:12.148387 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (315.833555ms) to execute
Sep 27 12:13:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:12.148989 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (220.120002ms) to execute
Sep 27 12:13:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:13.765700 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.029165804s) to execute
Sep 27 12:13:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:13.765894 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.027660233s) to execute
Sep 27 12:13:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:13.766032 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (203.988251ms) to execute
Sep 27 12:13:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:15.855073 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (440.398724ms) to execute
Sep 27 12:13:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:15.855175 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (305.629456ms) to execute
Sep 27 12:13:16 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:16.112705 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:11 size:20797" took too long (138.530744ms) to execute
Sep 27 12:13:23 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:13:23.435424 W | wal: sync duration of 1.441661341s, expected less than 1s
