-- Logs begin at Wed 2019-09-25 21:44:06 UTC, end at Fri 2019-09-27 15:24:11 UTC. --
Sep 27 15:02:16 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:02:16.911753 W | etcdserver: request "header:<ID:14919135698845394926 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15c853bbed3c6dbd\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15c853bbed3c6dbd\" value_size:354 lease:5695763661990618959 >> failure:<>>" with result "size:20" took too long (145.287198ms) to execute
Sep 27 15:02:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:02:17.165159 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-25v6x\" " with result "range_response_count:1 size:1118" took too long (181.577699ms) to execute
Sep 27 15:02:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:02:17.165230 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pfnzd\" " with result "range_response_count:1 size:1121" took too long (179.465373ms) to execute
Sep 27 15:02:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:02:17.165391 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (177.213582ms) to execute
Sep 27 15:02:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:02:17.165888 W | etcdserver: request "header:<ID:14919135698845394959 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15c853bbf7da0554\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15c853bbf7da0554\" value_size:354 lease:5695763661990618959 >> failure:<>>" with result "size:20" took too long (145.722928ms) to execute
Sep 27 15:02:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:02:17.175956 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-njg27\" " with result "range_response_count:1 size:1121" took too long (145.971857ms) to execute
Sep 27 15:02:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:02:17.372520 W | etcdserver: request "header:<ID:14919135698845394983 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-tfx66\" mod_revision:30561778 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-tfx66\" value_size:1425 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-tfx66\" > >>" with result "size:20" took too long (105.185126ms) to execute
Sep 27 15:04:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:04:00.764231 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (100.822978ms) to execute
Sep 27 15:04:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:04:46.708686 W | wal: sync duration of 1.760478132s, expected less than 1s
Sep 27 15:04:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:04:46.710344 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (1.206321327s) to execute
Sep 27 15:04:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:04:46.722516 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (959.687297ms) to execute
Sep 27 15:05:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:05:56.161402 W | wal: sync duration of 1.005002607s, expected less than 1s
Sep 27 15:05:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:05:56.161865 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (286.42486ms) to execute
Sep 27 15:05:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:05:56.162113 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sq6r7\" " with result "range_response_count:1 size:1623" took too long (250.920321ms) to execute
Sep 27 15:05:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:05:56.162238 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-sq6r7.15c853ccfefac965\" " with result "range_response_count:1 size:591" took too long (250.390921ms) to execute
Sep 27 15:06:40 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:06:40.526708 I | mvcc: store.index: compact 30561662
Sep 27 15:06:40 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:06:40.533007 I | mvcc: finished scheduled compaction at 30561662 (took 5.067861ms)
Sep 27 15:07:22 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:07:22.601319 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (290.981781ms) to execute
Sep 27 15:07:22 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:07:22.601455 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (291.016341ms) to execute
