-- Logs begin at Wed 2019-11-06 07:52:18 UTC, end at Sat 2019-11-09 03:25:03 UTC. --
Nov 09 03:04:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:04:11.668826 I | mvcc: store.index: compact 37174604
Nov 09 03:04:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:04:11.678465 I | mvcc: finished scheduled compaction at 37174604 (took 5.461537ms)
Nov 09 03:04:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:04:28.924807 W | etcdserver: request "header:<ID:14919139277664326710 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-9gvnd.15d55f84cb479e31\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-9gvnd.15d55f84cb479e31\" value_size:444 lease:5695767240809550473 >> failure:<>>" with result "size:20" took too long (134.217038ms) to execute
Nov 09 03:04:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:04:28.925839 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (129.976218ms) to execute
Nov 09 03:04:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:04:28.955651 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-9gvnd\" " with result "range_response_count:1 size:2738" took too long (140.47112ms) to execute
Nov 09 03:04:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:04:29.155298 W | etcdserver: request "header:<ID:14919139277664326723 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" mod_revision:37176279 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" value_size:1571 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" > >>" with result "size:20" took too long (129.472379ms) to execute
Nov 09 03:04:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:04:29.155490 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (132.010661ms) to execute
Nov 09 03:04:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:04:30.261635 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (193.132673ms) to execute
Nov 09 03:04:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:04:30.262128 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (180.23813ms) to execute
Nov 09 03:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:05:29.025828 W | etcdserver: request "header:<ID:14919139277664327461 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n4j9k\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n4j9k\" value_size:2578 >> failure:<>>" with result "size:20" took too long (128.923585ms) to execute
Nov 09 03:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:05:29.027116 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (142.966983ms) to execute
Nov 09 03:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:05:29.040952 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:995" took too long (156.822627ms) to execute
Nov 09 03:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:05:29.272254 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (152.472784ms) to execute
Nov 09 03:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:05:29.272417 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n4j9k\" " with result "range_response_count:1 size:2738" took too long (148.767692ms) to execute
Nov 09 03:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:05:29.272781 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:995" took too long (173.440462ms) to execute
Nov 09 03:07:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:07:26.941956 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (115.896247ms) to execute
Nov 09 03:07:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:07:26.942432 W | etcdserver: request "header:<ID:14919139277664328798 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-jwbpf\" mod_revision:37176918 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-jwbpf\" value_size:3503 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-jwbpf\" > >>" with result "size:20" took too long (113.868957ms) to execute
Nov 09 03:09:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:09:11.687319 I | mvcc: store.index: compact 37176358
Nov 09 03:09:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:09:11.705339 I | mvcc: finished scheduled compaction at 37176358 (took 11.125887ms)
Nov 09 03:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:09:13.116679 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.272650232s) to execute
Nov 09 03:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:09:13.117267 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.269224111s) to execute
Nov 09 03:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:09:13.117620 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecs\" range_end:\"/registry/config.istio.io/quotaspect\" count_only:true " with result "range_response_count:0 size:7" took too long (1.036516736s) to execute
Nov 09 03:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:09:13.117826 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.228507548s) to execute
Nov 09 03:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:09:13.118022 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (591.599777ms) to execute
Nov 09 03:13:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:16.598749 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (398.276655ms) to execute
Nov 09 03:13:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:17.045245 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/destinationrules\" range_end:\"/registry/networking.istio.io/destinationrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (206.311129ms) to execute
Nov 09 03:13:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:17.045302 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (148.451133ms) to execute
Nov 09 03:13:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:17.045378 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (150.459813ms) to execute
Nov 09 03:13:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:17.046245 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (786.437897ms) to execute
Nov 09 03:13:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:26.980420 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6487" took too long (884.712536ms) to execute
Nov 09 03:13:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:45.011803 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (650.945906ms) to execute
Nov 09 03:13:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:45.011942 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-d7kj7.15d55ff95145f800\" " with result "range_response_count:1 size:592" took too long (609.696797ms) to execute
Nov 09 03:13:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:53.585716 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (159.584584ms) to execute
Nov 09 03:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:55.322234 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (544.869358ms) to execute
Nov 09 03:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:55.322585 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (117.545452ms) to execute
Nov 09 03:13:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:56.569501 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6487" took too long (474.812614ms) to execute
Nov 09 03:13:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:56.569708 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (425.660523ms) to execute
Nov 09 03:13:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:13:56.569791 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:10" took too long (273.098332ms) to execute
Nov 09 03:14:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:14:11.705550 I | mvcc: store.index: compact 37177189
Nov 09 03:14:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:14:11.713623 I | mvcc: finished scheduled compaction at 37177189 (took 6.15846ms)
Nov 09 03:14:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:14:12.007985 W | etcdserver: request "header:<ID:14919139277664333409 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:37177924 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (159.28896ms) to execute
Nov 09 03:14:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:14:26.091968 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (251.770615ms) to execute
Nov 09 03:14:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:14:26.092006 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (525.262745ms) to execute
Nov 09 03:14:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:14:26.092070 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (200.756191ms) to execute
Nov 09 03:14:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:14:26.092203 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (517.166345ms) to execute
Nov 09 03:14:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:14:33.940148 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (512.94964ms) to execute
