-- Logs begin at Mon 2019-11-04 06:45:01 UTC, end at Thu 2019-11-07 13:55:09 UTC. --
Nov 07 13:33:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:33:48.743924 I | mvcc: store.index: compact 36793990
Nov 07 13:33:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:33:48.750290 I | mvcc: finished scheduled compaction at 36793990 (took 4.94469ms)
Nov 07 13:33:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:33:48.965169 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (132.52173ms) to execute
Nov 07 13:34:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:34:22.772316 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (123.941442ms) to execute
Nov 07 13:34:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:34:22.772787 W | etcdserver: request "header:<ID:14919139277662825025 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:36795739 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (118.913726ms) to execute
Nov 07 13:34:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:34:22.783526 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (115.775269ms) to execute
Nov 07 13:34:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:34:23.368141 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (492.860194ms) to execute
Nov 07 13:34:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:34:23.368311 W | etcdserver: request "header:<ID:14919139277662825043 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:36795377 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (492.380358ms) to execute
Nov 07 13:34:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:34:23.372508 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (495.755783ms) to execute
Nov 07 13:34:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:34:23.380106 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:2 size:8050" took too long (343.470416ms) to execute
Nov 07 13:34:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:34:28.392053 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (260.675917ms) to execute
Nov 07 13:34:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:34:28.392247 W | etcdserver: request "header:<ID:14919139277662825151 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:36795807 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (253.840374ms) to execute
