-- Logs begin at Thu 2019-10-31 22:09:41 UTC, end at Sun 2019-11-03 17:02:59 UTC. --
Nov 03 16:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:42:18.192643 I | mvcc: store.index: compact 35899210
Nov 03 16:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:42:18.198471 I | mvcc: finished scheduled compaction at 35899210 (took 4.806344ms)
Nov 03 16:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:42:18.475542 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (162.513564ms) to execute
Nov 03 16:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:42:18.475980 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (222.596504ms) to execute
Nov 03 16:42:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:42:36.564569 W | etcdserver: request "header:<ID:14919139277659343255 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d3b48818e440b9\" mod_revision:35900232 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d3b48818e440b9\" value_size:386 lease:5695767240804567373 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d3b48818e440b9\" > >>" with result "size:20" took too long (125.357229ms) to execute
Nov 03 16:42:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:42:36.564717 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (139.724166ms) to execute
Nov 03 16:42:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:42:36.567500 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (126.342037ms) to execute
Nov 03 16:46:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:46:12.064000 N | compactor: Starting auto-compaction at revision 35827619
Nov 03 16:46:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:46:12.064477 N | compactor: Finished auto-compaction at revision 35827619
Nov 03 16:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:47:18.205822 I | mvcc: store.index: compact 35900154
Nov 03 16:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:47:18.215133 I | mvcc: finished scheduled compaction at 35900154 (took 7.155302ms)
Nov 03 16:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:47:18.498291 W | etcdserver: request "header:<ID:14919139277659346353 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-dn9lz.15d3b4eff81074c5\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-dn9lz.15d3b4eff81074c5\" value_size:462 lease:5695767240804570172 >> failure:<>>" with result "size:20" took too long (184.255741ms) to execute
Nov 03 16:52:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:52:18.220043 I | mvcc: store.index: compact 35901317
Nov 03 16:52:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:52:18.227758 I | mvcc: finished scheduled compaction at 35901317 (took 6.194038ms)
Nov 03 16:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:57:18.309159 I | mvcc: store.index: compact 35902153
Nov 03 16:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:57:18.317155 I | mvcc: finished scheduled compaction at 35902153 (took 6.508632ms)
Nov 03 16:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:57:18.630928 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (124.533321ms) to execute
Nov 03 17:00:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:00:42.373708 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (497.51084ms) to execute
Nov 03 17:00:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:00:42.373907 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (591.490716ms) to execute
Nov 03 17:00:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:00:42.374040 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (713.571872ms) to execute
