-- Logs begin at Fri 2019-12-20 08:29:15 UTC, end at Sat 2019-12-21 17:16:13 UTC. --
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.870238 W | wal: sync duration of 7.7352569s, expected less than 1s
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.870548 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (7.639551415s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.880403 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (7.440160206s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.880487 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (4.19360248s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.880813 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (5.733158871s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.880874 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1078" took too long (2.307230796s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.881015 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (3.882029263s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.881051 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (6.957723489s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.881102 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (5.163780892s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.881281 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (3.82394344s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.881306 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (5.526002288s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.881544 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (5.605826042s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.881591 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (3.882263082s) to execute
Dec 21 16:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:55:29.881694 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (3.882626193s) to execute
