-- Logs begin at Sat 2019-11-02 13:28:51 UTC, end at Wed 2019-11-06 00:21:40 UTC. --
Nov 06 00:01:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:01:31.797275 W | etcdserver: request "header:<ID:14919139277661331172 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" mod_revision:36422942 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" value_size:1571 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" > >>" with result "size:20" took too long (125.448192ms) to execute
Nov 06 00:01:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:01:31.797516 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (134.467559ms) to execute
Nov 06 00:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:01:32.046299 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (177.204715ms) to execute
Nov 06 00:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:01:32.046456 W | etcdserver: request "header:<ID:14919139277661331191 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:36423211 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6115 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (145.226581ms) to execute
Nov 06 00:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:01:32.046939 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (182.193942ms) to execute
Nov 06 00:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:01:32.061705 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-f8khh\" " with result "range_response_count:1 size:2738" took too long (171.131979ms) to execute
Nov 06 00:02:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:02:31.871732 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (156.210193ms) to execute
Nov 06 00:02:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:02:31.871872 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (168.273908ms) to execute
Nov 06 00:02:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:02:31.872120 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (158.723774ms) to execute
Nov 06 00:02:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:02:31.872950 W | etcdserver: request "header:<ID:14919139277661331922 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:36423404 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (128.800575ms) to execute
Nov 06 00:02:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 00:02:31.887666 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:995" took too long (158.074902ms) to execute
