-- Logs begin at Wed 2019-10-30 17:55:18 UTC, end at Sat 2019-11-02 11:07:40 UTC. --
Nov 02 10:46:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:46:08.998691 N | compactor: Starting auto-compaction at revision 35558753
Nov 02 10:46:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:46:08.999083 N | compactor: Finished auto-compaction at revision 35558753
Nov 02 10:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:46:44.447453 I | mvcc: store.index: compact 35635135
Nov 02 10:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:46:44.454014 I | mvcc: finished scheduled compaction at 35635135 (took 4.418479ms)
Nov 02 10:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:50:20.821842 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (497.499874ms) to execute
Nov 02 10:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:50:20.828885 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (372.80242ms) to execute
Nov 02 10:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:50:20.829070 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (147.695373ms) to execute
Nov 02 10:51:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:51:44.528453 I | mvcc: store.index: compact 35637080
Nov 02 10:51:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:51:44.542010 I | mvcc: finished scheduled compaction at 35637080 (took 11.026613ms)
Nov 02 10:52:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:52:21.061586 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (491.337566ms) to execute
Nov 02 10:52:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:52:21.061687 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (158.021424ms) to execute
Nov 02 10:54:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:54:24.002350 I | etcdserver: start to snapshot (applied: 39344867, lastsnap: 39334866)
Nov 02 10:54:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:54:24.620113 I | etcdserver: saved snapshot at index 39344867
Nov 02 10:54:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:54:24.620229 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1419" took too long (166.923318ms) to execute
Nov 02 10:54:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:54:24.620869 I | etcdserver: compacted raft log at 39339867
Nov 02 10:54:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:54:35.116814 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000257978e.snap successfully
Nov 02 10:56:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:56:44.609736 I | mvcc: store.index: compact 35637597
Nov 02 10:56:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:56:44.615759 I | mvcc: finished scheduled compaction at 35637597 (took 4.499243ms)
Nov 02 11:01:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:01:44.622625 I | mvcc: store.index: compact 35638114
