-- Logs begin at Fri 2019-10-25 18:53:13 UTC, end at Thu 2019-10-31 16:59:36 UTC. --
Oct 31 16:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:41:16.033845 I | mvcc: store.index: compact 35214357
Oct 31 16:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:41:16.038996 I | mvcc: finished scheduled compaction at 35214357 (took 4.151356ms)
Oct 31 16:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:46:05.699085 N | compactor: Starting auto-compaction at revision 35136820
Oct 31 16:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:46:05.699555 N | compactor: Finished auto-compaction at revision 35136820
Oct 31 16:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:46:16.045906 I | mvcc: store.index: compact 35215211
Oct 31 16:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:46:16.051121 I | mvcc: finished scheduled compaction at 35215211 (took 4.216827ms)
Oct 31 16:47:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:47:19.302880 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (124.661563ms) to execute
Oct 31 16:47:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:47:25.169314 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (178.625268ms) to execute
Oct 31 16:48:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:48:19.595879 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (196.440889ms) to execute
Oct 31 16:48:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:48:19.596441 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (188.552193ms) to execute
Oct 31 16:48:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:48:23.251634 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (545.662746ms) to execute
Oct 31 16:48:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:48:48.339867 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (268.230572ms) to execute
Oct 31 16:48:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:48:48.340154 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (234.092028ms) to execute
Oct 31 16:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:48:54.980547 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (204.407649ms) to execute
Oct 31 16:49:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:49:46.685817 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (496.124474ms) to execute
Oct 31 16:49:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:49:46.685856 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (508.886594ms) to execute
Oct 31 16:51:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:51:16.101351 I | mvcc: store.index: compact 35215727
Oct 31 16:51:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:51:16.106479 I | mvcc: finished scheduled compaction at 35215727 (took 4.073337ms)
Oct 31 16:56:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:56:16.133451 I | mvcc: store.index: compact 35216243
Oct 31 16:56:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 16:56:16.138033 I | mvcc: finished scheduled compaction at 35216243 (took 3.446297ms)
