-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 08:49:57 UTC. --
Feb 01 08:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:26:54.451075 W | etcdserver: request "header:<ID:14919139277751119504 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:53148124 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (126.488822ms) to execute
Feb 01 08:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:26:54.465663 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (113.223176ms) to execute
Feb 01 08:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:26:54.666049 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/backend\" " with result "range_response_count:0 size:7" took too long (112.75197ms) to execute
Feb 01 08:27:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:09.971632 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (181.307595ms) to execute
Feb 01 08:27:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:09.972491 W | etcdserver: request "header:<ID:14919139277751119705 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15ef39e04ea7d56e\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15ef39e04ea7d56e\" value_size:354 lease:5695767240896343679 >> failure:<>>" with result "size:20" took too long (146.52555ms) to execute
Feb 01 08:27:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:09.992609 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (182.131091ms) to execute
Feb 01 08:27:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:09.992907 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5pc69\" " with result "range_response_count:1 size:1121" took too long (171.544453ms) to execute
Feb 01 08:27:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:09.993373 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-64zn6\" " with result "range_response_count:1 size:1121" took too long (172.504659ms) to execute
Feb 01 08:27:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:09.993670 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (177.666646ms) to execute
Feb 01 08:27:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:09.993923 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (181.039016ms) to execute
Feb 01 08:27:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:09.994258 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (182.940611ms) to execute
Feb 01 08:27:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:10.239695 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (227.811333ms) to execute
Feb 01 08:27:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:10.239733 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2l4hf\" " with result "range_response_count:1 size:1121" took too long (243.616474ms) to execute
Feb 01 08:27:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:27:10.239954 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (244.017619ms) to execute
