-- Logs begin at Sat 2019-11-02 13:28:51 UTC, end at Wed 2019-11-06 01:44:27 UTC. --
Nov 06 01:22:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:22:56.886139 I | mvcc: store.index: compact 36436381
Nov 06 01:22:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:22:56.896706 I | mvcc: finished scheduled compaction at 36436381 (took 8.018172ms)
Nov 06 01:24:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:38.938883 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (132.532642ms) to execute
Nov 06 01:24:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:38.980817 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (165.048971ms) to execute
Nov 06 01:24:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:38.981110 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (174.790354ms) to execute
Nov 06 01:24:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:39.184291 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:836" took too long (160.465403ms) to execute
Nov 06 01:24:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:39.184508 W | etcdserver: request "header:<ID:14919139277661390889 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:36438280 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (142.729541ms) to execute
Nov 06 01:24:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:39.184653 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-dnf5r\" " with result "range_response_count:1 size:2738" took too long (148.514785ms) to execute
Nov 06 01:24:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:39.184812 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (160.195784ms) to execute
Nov 06 01:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:53.922633 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (129.284186ms) to execute
Nov 06 01:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:53.954924 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (156.538198ms) to execute
Nov 06 01:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:53.955129 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-ccdp4\" " with result "range_response_count:1 size:2314" took too long (146.220994ms) to execute
Nov 06 01:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:53.955686 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha2.config.istio.io\" " with result "range_response_count:1 size:659" took too long (159.694486ms) to execute
Nov 06 01:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:53.955941 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (161.0569ms) to execute
Nov 06 01:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:53.956030 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (148.389691ms) to execute
Nov 06 01:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:53.956298 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (158.561192ms) to execute
Nov 06 01:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:53.956370 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (156.986436ms) to execute
Nov 06 01:24:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:24:54.161772 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (145.410075ms) to execute
Nov 06 01:27:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:27:56.899044 I | mvcc: store.index: compact 36438010
Nov 06 01:27:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:27:56.908991 I | mvcc: finished scheduled compaction at 36438010 (took 7.869752ms)
Nov 06 01:27:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:27:57.557432 W | etcdserver: request "header:<ID:14919139277661393173 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:36438762 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (615.396251ms) to execute
Nov 06 01:27:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:27:57.600961 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (135.792172ms) to execute
Nov 06 01:27:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:27:57.763565 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/coredns\" " with result "range_response_count:1 size:575" took too long (128.131911ms) to execute
Nov 06 01:30:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:30:28.487306 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (358.855744ms) to execute
Nov 06 01:30:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:30:28.487738 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (143.026189ms) to execute
Nov 06 01:32:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:32:56.912144 I | mvcc: store.index: compact 36438783
Nov 06 01:32:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:32:56.922381 I | mvcc: finished scheduled compaction at 36438783 (took 6.101221ms)
Nov 06 01:33:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:33:18.755974 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (140.676139ms) to execute
Nov 06 01:37:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:37:51.211186 I | etcdserver: start to snapshot (applied: 40214962, lastsnap: 40204961)
Nov 06 01:37:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:37:51.261069 I | etcdserver: saved snapshot at index 40214962
Nov 06 01:37:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:37:51.261329 I | etcdserver: compacted raft log at 40209962
Nov 06 01:37:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:37:56.927475 I | mvcc: store.index: compact 36439504
Nov 06 01:37:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:37:56.936162 I | mvcc: finished scheduled compaction at 36439504 (took 6.80183ms)
Nov 06 01:38:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:38:09.825899 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000264de5c.snap successfully
