-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 16:39:50 UTC. --
Nov 09 16:19:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:19:20.988373 I | mvcc: store.index: compact 37305374
Nov 09 16:19:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:19:20.994114 I | mvcc: finished scheduled compaction at 37305374 (took 4.564114ms)
Nov 09 16:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:19:26.074027 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (137.803727ms) to execute
Nov 09 16:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:19:26.074641 W | etcdserver: request "header:<ID:14919139277664852393 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:37306065 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (137.233673ms) to execute
Nov 09 16:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:19:26.090432 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (140.969644ms) to execute
Nov 09 16:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:19:26.120288 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-trqqd\" " with result "range_response_count:1 size:2943" took too long (139.904977ms) to execute
Nov 09 16:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:19:26.120386 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (170.339438ms) to execute
Nov 09 16:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:19:26.120562 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (170.292713ms) to execute
Nov 09 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:24:21.011906 I | mvcc: store.index: compact 37306051
Nov 09 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:24:21.020925 I | mvcc: finished scheduled compaction at 37306051 (took 7.220454ms)
Nov 09 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:24:21.256560 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (120.379341ms) to execute
Nov 09 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:24:21.256600 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (131.426555ms) to execute
Nov 09 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:24:21.256852 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (156.87195ms) to execute
Nov 09 16:26:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:26:28.689870 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (147.91016ms) to execute
Nov 09 16:26:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:26:28.690145 W | etcdserver: request "header:<ID:14919139277664856853 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:37306966 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (114.341768ms) to execute
Nov 09 16:29:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:29:21.025751 I | mvcc: store.index: compact 37306737
Nov 09 16:29:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:29:21.032111 I | mvcc: finished scheduled compaction at 37306737 (took 4.554839ms)
Nov 09 16:29:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:29:55.007530 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6lbb2\" " with result "range_response_count:1 size:2314" took too long (1.315726147s) to execute
Nov 09 16:29:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:29:55.007828 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6lbb2\" " with result "range_response_count:1 size:2314" took too long (783.433926ms) to execute
