-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Tue 2019-10-22 17:56:32 UTC. --
Oct 22 17:36:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:36:13.644300 W | etcdserver: request "header:<ID:14919139082522901998 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-fj5dg\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-fj5dg\" value_size:2578 >> failure:<>>" with result "size:20" took too long (136.415316ms) to execute
Oct 22 17:36:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:36:13.901462 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (157.858665ms) to execute
Oct 22 17:36:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:36:13.933514 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (102.870722ms) to execute
Oct 22 17:36:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:36:13.933729 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ljp2p\" " with result "range_response_count:1 size:2738" took too long (149.179197ms) to execute
Oct 22 17:36:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:36:13.933925 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (186.710903ms) to execute
Oct 22 17:36:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:36:28.792060 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-wqmln\" " with result "range_response_count:1 size:2738" took too long (154.728008ms) to execute
Oct 22 17:36:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:36:28.792563 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (142.294837ms) to execute
Oct 22 17:37:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:37:14.169135 I | mvcc: store.index: compact 33519845
Oct 22 17:37:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:37:14.174729 I | mvcc: finished scheduled compaction at 33519845 (took 4.177238ms)
Oct 22 17:42:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:42:14.181725 I | mvcc: store.index: compact 33522146
Oct 22 17:42:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:42:14.192121 I | mvcc: finished scheduled compaction at 33522146 (took 7.554797ms)
Oct 22 17:42:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:42:15.894049 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:9" took too long (544.624224ms) to execute
Oct 22 17:42:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:42:15.894092 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (596.607261ms) to execute
Oct 22 17:42:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:42:15.894150 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/reportnothings\" range_end:\"/registry/config.istio.io/reportnothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (742.040716ms) to execute
Oct 22 17:42:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:42:15.894340 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/virtualservices\" range_end:\"/registry/networking.istio.io/virtualservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.287407248s) to execute
Oct 22 17:42:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:42:15.894803 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.625338128s) to execute
Oct 22 17:42:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:42:15.895178 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (429.133885ms) to execute
Oct 22 17:42:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 17:42:15.895597 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (374.638865ms) to execute
