-- Logs begin at Fri 2019-12-20 03:39:40 UTC, end at Sat 2019-12-21 13:29:40 UTC. --
Dec 21 13:07:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:07:06.915272 W | etcdserver: request "header:<ID:14919139277709451308 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:45543705 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:1865 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (141.351512ms) to execute
Dec 21 13:07:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:07:06.915578 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pnkzs\" " with result "range_response_count:1 size:1502" took too long (139.332202ms) to execute
Dec 21 13:07:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:07:14.664996 W | etcdserver: request "header:<ID:14919139277709451447 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-gjmtz\" mod_revision:45543699 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-gjmtz\" value_size:1548 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-gjmtz\" > >>" with result "size:20" took too long (101.866748ms) to execute
Dec 21 13:07:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:07:16.904258 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4c9hq\" " with result "range_response_count:1 size:1744" took too long (103.25938ms) to execute
Dec 21 13:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:11:32.820283 I | mvcc: store.index: compact 45543422
Dec 21 13:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:11:32.830125 I | mvcc: finished scheduled compaction at 45543422 (took 7.088487ms)
Dec 21 13:13:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:13:30.227369 N | compactor: Starting auto-compaction at revision 45466149
Dec 21 13:13:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:13:30.227815 N | compactor: Finished auto-compaction at revision 45466149
Dec 21 13:16:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:16:32.834566 I | mvcc: store.index: compact 45544294
Dec 21 13:16:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:16:32.840245 I | mvcc: finished scheduled compaction at 45544294 (took 4.699471ms)
Dec 21 13:16:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:16:33.143499 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (255.81606ms) to execute
Dec 21 13:17:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:17:18.624098 W | etcdserver: request "header:<ID:14919139277709456147 > lease_revoke:<id:4f0b6e20ca7332a4>" with result "size:29" took too long (109.144186ms) to execute
Dec 21 13:21:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:21:32.846944 I | mvcc: store.index: compact 45544861
Dec 21 13:21:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:21:32.854233 I | mvcc: finished scheduled compaction at 45544861 (took 5.283505ms)
Dec 21 13:25:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:25:18.502016 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (104.169168ms) to execute
Dec 21 13:26:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:26:32.861197 I | mvcc: store.index: compact 45545422
Dec 21 13:26:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 13:26:32.867347 I | mvcc: finished scheduled compaction at 45545422 (took 4.887903ms)
