-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Tue 2019-10-22 20:28:05 UTC. --
Oct 22 20:07:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:07:15.371128 I | mvcc: store.index: compact 33547514
Oct 22 20:07:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:07:15.377842 I | mvcc: finished scheduled compaction at 33547514 (took 4.1565ms)
Oct 22 20:07:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:07:15.583790 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (134.496153ms) to execute
Oct 22 20:08:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:18.399408 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (142.480755ms) to execute
Oct 22 20:08:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:18.399486 W | etcdserver: request "header:<ID:14919139082523008654 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d010f13d5b3bb4\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d010f13d5b3bb4\" value_size:403 lease:5695767045668232823 >> failure:<>>" with result "size:20" took too long (132.581147ms) to execute
Oct 22 20:08:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:18.419294 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (159.81138ms) to execute
Oct 22 20:08:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:18.644138 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (148.410328ms) to execute
Oct 22 20:08:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:18.646337 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-8p9fx\" " with result "range_response_count:1 size:2738" took too long (138.281013ms) to execute
Oct 22 20:08:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:33.428916 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (159.678529ms) to execute
Oct 22 20:08:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:33.429191 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (159.688902ms) to execute
Oct 22 20:08:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:33.466116 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (180.542715ms) to execute
Oct 22 20:08:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:33.466190 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2xcvh\" " with result "range_response_count:1 size:2738" took too long (152.956485ms) to execute
Oct 22 20:08:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:33.466489 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (181.068188ms) to execute
Oct 22 20:08:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:08:33.466704 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (178.709463ms) to execute
Oct 22 20:12:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:15.383019 I | mvcc: store.index: compact 33549829
Oct 22 20:12:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:15.392786 I | mvcc: finished scheduled compaction at 33549829 (took 8.258426ms)
Oct 22 20:12:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:17.086632 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.180637184s) to execute
Oct 22 20:12:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:17.086751 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (748.053795ms) to execute
Oct 22 20:12:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:17.087037 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (1.553889732s) to execute
Oct 22 20:12:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:17.087295 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.307410485s) to execute
Oct 22 20:12:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:17.087386 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.177056396s) to execute
Oct 22 20:12:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:17.087595 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (812.074154ms) to execute
Oct 22 20:12:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:17.087858 W | etcdserver: request "header:<ID:14919139082523011167 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:33550432 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (737.832493ms) to execute
Oct 22 20:12:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:17.108295 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-nshlv\" " with result "range_response_count:1 size:2314" took too long (217.46473ms) to execute
Oct 22 20:12:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:12:17.111846 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (118.471306ms) to execute
Oct 22 20:17:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:17:14.624468 I | etcdserver: start to snapshot (applied: 37064631, lastsnap: 37054630)
Oct 22 20:17:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:17:14.807020 I | etcdserver: saved snapshot at index 37064631
Oct 22 20:17:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:17:14.807499 I | etcdserver: compacted raft log at 37059631
Oct 22 20:17:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 20:17:15.394398 I | mvcc: store.index: compact 33550447
