-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Tue 2019-10-22 14:08:55 UTC. --
Oct 22 13:52:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:52:12.002021 I | mvcc: store.index: compact 33479342
Oct 22 13:52:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:52:12.008904 I | mvcc: finished scheduled compaction at 33479342 (took 5.26636ms)
Oct 22 13:52:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:52:12.654881 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:7" took too long (350.964668ms) to execute
Oct 22 13:53:35 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:53:35.644068 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (280.641151ms) to execute
Oct 22 13:53:35 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:53:35.644296 W | etcdserver: request "header:<ID:14919139082522744602 > lease_revoke:<id:4f0b6df3586a5678>" with result "size:29" took too long (222.796209ms) to execute
Oct 22 13:54:06 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:54:06.047827 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (302.112739ms) to execute
Oct 22 13:56:06 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:56:06.873886 W | etcdserver: request "header:<ID:14919139082522745891 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:33480536 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (253.757602ms) to execute
Oct 22 13:56:37 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:56:37.034757 W | etcdserver: request "header:<ID:14919139082522746144 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:33480594 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (120.066848ms) to execute
Oct 22 13:57:07 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:57:07.188969 W | etcdserver: request "header:<ID:14919139082522746378 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:33480656 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (111.917379ms) to execute
Oct 22 13:57:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:57:12.081998 I | mvcc: store.index: compact 33479969
Oct 22 13:57:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:57:12.084771 I | mvcc: finished scheduled compaction at 33479969 (took 1.654213ms)
Oct 22 13:58:07 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:58:07.473458 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (276.10134ms) to execute
Oct 22 13:58:07 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:58:07.473589 W | etcdserver: request "header:<ID:14919139082522746861 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:33480771 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (122.384458ms) to execute
Oct 22 13:58:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:58:15.282859 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (135.066839ms) to execute
Oct 22 13:58:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:58:15.283114 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (138.398636ms) to execute
Oct 22 13:58:37 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:58:37.742716 W | etcdserver: request "header:<ID:14919139082522747110 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:33480835 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (228.128254ms) to execute
Oct 22 13:58:37 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:58:37.742948 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (228.208102ms) to execute
Oct 22 13:58:45 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:58:45.811880 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (114.814276ms) to execute
Oct 22 14:02:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 14:02:12.094635 I | mvcc: store.index: compact 33480688
Oct 22 14:02:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 14:02:12.098326 I | mvcc: finished scheduled compaction at 33480688 (took 2.310793ms)
Oct 22 14:02:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 14:02:12.310341 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (134.082127ms) to execute
Oct 22 14:02:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 14:02:15.133634 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:33340" took too long (161.873205ms) to execute
Oct 22 14:03:56 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 14:03:56.382919 W | etcdserver: request "header:<ID:14919139082522749825 > lease_revoke:<id:4f0b6df3586a6ae7>" with result "size:29" took too long (208.666481ms) to execute
Oct 22 14:04:06 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 14:04:06.883289 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (112.699693ms) to execute
Oct 22 14:07:02 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 14:07:02.395083 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (131.492073ms) to execute
Oct 22 14:07:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 14:07:12.138505 I | mvcc: store.index: compact 33481306
