-- Logs begin at Fri 2019-10-18 09:24:14 UTC, end at Tue 2019-10-22 07:02:01 UTC. --
Oct 22 06:40:57 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:40:57.360610 I | mvcc: store.index: compact 33417148
Oct 22 06:40:57 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:40:57.366653 I | mvcc: finished scheduled compaction at 33417148 (took 3.474842ms)
Oct 22 06:41:15 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:41:15.513407 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (122.162306ms) to execute
Oct 22 06:45:57 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:45:57.376887 I | mvcc: store.index: compact 33418111
Oct 22 06:45:57 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:45:57.386210 I | mvcc: finished scheduled compaction at 33418111 (took 4.730689ms)
Oct 22 06:50:57 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:50:57.399612 I | mvcc: store.index: compact 33418625
Oct 22 06:50:57 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:50:57.405583 I | mvcc: finished scheduled compaction at 33418625 (took 3.722699ms)
Oct 22 06:55:57 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:55:57.486900 I | mvcc: store.index: compact 33419137
Oct 22 06:55:57 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:55:57.493542 I | mvcc: finished scheduled compaction at 33419137 (took 5.277087ms)
Oct 22 06:58:36 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:58:36.614529 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (167.446287ms) to execute
Oct 22 06:58:56 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:58:56.752098 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (154.7061ms) to execute
Oct 22 06:59:17 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:59:17.411081 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (154.581428ms) to execute
Oct 22 06:59:17 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:59:17.446546 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (106.990009ms) to execute
Oct 22 06:59:27 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:59:27.272339 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (374.490487ms) to execute
Oct 22 06:59:48 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:59:48.590844 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (178.395478ms) to execute
Oct 22 06:59:48 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:59:48.591009 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1416" took too long (498.649908ms) to execute
Oct 22 06:59:48 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:59:48.591050 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (554.835126ms) to execute
Oct 22 06:59:56 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:59:56.734546 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (573.382993ms) to execute
Oct 22 06:59:56 openhouse-demo-k8s-master-1 etcd[1472]: 2019-10-22 06:59:56.734743 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (534.676774ms) to execute
