-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Tue 2019-10-22 15:49:48 UTC. --
Oct 22 15:32:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:32:13.305249 I | mvcc: store.index: compact 33497291
Oct 22 15:32:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:32:13.314941 I | mvcc: finished scheduled compaction at 33497291 (took 7.801092ms)
Oct 22 15:32:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:32:13.892806 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-hlg9g.15d001a016295a8c\" " with result "range_response_count:1 size:558" took too long (467.577473ms) to execute
Oct 22 15:32:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:32:13.893036 W | etcdserver: request "header:<ID:14919139082522814394 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:33498494 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (212.663513ms) to execute
Oct 22 15:33:09 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:33:09.009893 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (427.50129ms) to execute
Oct 22 15:33:09 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:33:09.010041 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (169.898754ms) to execute
Oct 22 15:33:57 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:33:57.344208 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-bs2c6.15d001a02499b006\" " with result "range_response_count:1 size:465" took too long (353.491281ms) to execute
Oct 22 15:34:57 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:34:57.635114 W | etcdserver: request "header:<ID:14919139082522815888 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:33498940 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (105.723783ms) to execute
Oct 22 15:37:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:37:13.316513 I | mvcc: store.index: compact 33498520
Oct 22 15:37:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:37:13.323919 I | mvcc: finished scheduled compaction at 33498520 (took 5.689082ms)
Oct 22 15:37:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:37:13.888445 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (241.317703ms) to execute
Oct 22 15:37:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:37:13.888510 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (116.41786ms) to execute
Oct 22 15:37:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:37:13.888615 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (347.564684ms) to execute
Oct 22 15:40:08 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:40:08.419172 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (148.674598ms) to execute
Oct 22 15:42:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:42:13.385089 I | mvcc: store.index: compact 33499242
Oct 22 15:42:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:42:13.394009 I | mvcc: finished scheduled compaction at 33499242 (took 6.899111ms)
Oct 22 15:47:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:47:13.397614 I | mvcc: store.index: compact 33499922
Oct 22 15:47:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 15:47:13.405157 I | mvcc: finished scheduled compaction at 33499922 (took 5.183386ms)
