-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Tue 2019-10-22 18:21:08 UTC. --
Oct 22 18:02:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:02:14.320140 I | mvcc: store.index: compact 33524388
Oct 22 18:02:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:02:14.329201 I | mvcc: finished scheduled compaction at 33524388 (took 5.512122ms)
Oct 22 18:03:30 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:03:30.643258 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (294.815086ms) to execute
Oct 22 18:03:30 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:03:30.643402 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-c4zqw.15d00a01408ba342\" " with result "range_response_count:1 size:587" took too long (354.833924ms) to execute
Oct 22 18:03:30 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:03:30.643807 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (294.063451ms) to execute
Oct 22 18:07:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:07:14.371329 I | mvcc: store.index: compact 33526101
Oct 22 18:07:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:07:14.386494 I | mvcc: finished scheduled compaction at 33526101 (took 10.430507ms)
Oct 22 18:07:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:07:14.882822 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (168.501921ms) to execute
Oct 22 18:07:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:07:14.883077 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (280.923287ms) to execute
Oct 22 18:07:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:07:14.883516 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-c4zqw\" " with result "range_response_count:1 size:1730" took too long (139.408669ms) to execute
Oct 22 18:09:21 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:09:21.688974 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (109.704291ms) to execute
Oct 22 18:09:21 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:09:21.689106 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (117.540213ms) to execute
Oct 22 18:12:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:14.391796 I | mvcc: store.index: compact 33526845
Oct 22 18:12:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:14.397488 I | mvcc: finished scheduled compaction at 33526845 (took 4.386637ms)
Oct 22 18:12:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:14.650114 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (169.260413ms) to execute
Oct 22 18:12:35 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:35.035049 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (102.652082ms) to execute
Oct 22 18:12:35 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:35.035201 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (123.889851ms) to execute
Oct 22 18:12:35 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:35.035430 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (123.979064ms) to execute
Oct 22 18:12:52 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:52.451034 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (551.38597ms) to execute
Oct 22 18:12:52 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:52.451081 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (597.476527ms) to execute
Oct 22 18:12:52 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:52.451264 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (597.415843ms) to execute
Oct 22 18:12:53 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:12:53.358475 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (100.594694ms) to execute
Oct 22 18:16:27 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:16:27.624498 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (125.969498ms) to execute
