-- Logs begin at Sat 2019-11-02 13:28:51 UTC, end at Wed 2019-11-06 02:59:43 UTC. --
Nov 06 02:37:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:37:57.241353 I | mvcc: store.index: compact 36448179
Nov 06 02:37:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:37:57.246499 I | mvcc: finished scheduled compaction at 36448179 (took 3.94484ms)
Nov 06 02:39:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:39:26.566340 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (208.67409ms) to execute
Nov 06 02:39:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:39:26.566545 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (203.996652ms) to execute
Nov 06 02:39:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:39:26.588876 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stackdrivers\" range_end:\"/registry/config.istio.io/stackdrivert\" count_only:true " with result "range_response_count:0 size:7" took too long (121.571217ms) to execute
Nov 06 02:39:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:39:26.588967 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-xgms9\" " with result "range_response_count:1 size:2738" took too long (173.6665ms) to execute
Nov 06 02:39:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:39:26.781341 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-nhf5p\" " with result "range_response_count:1 size:2738" took too long (111.109947ms) to execute
Nov 06 02:39:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:39:41.442099 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecbindings\" range_end:\"/registry/config.istio.io/httpapispecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (133.672722ms) to execute
Nov 06 02:39:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:39:41.442559 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-r6697\" " with result "range_response_count:1 size:2738" took too long (165.841759ms) to execute
Nov 06 02:39:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:39:41.442641 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (167.075566ms) to execute
Nov 06 02:39:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 02:39:41.442809 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (182.986201ms) to execute
