-- Logs begin at Wed 2019-10-30 17:55:18 UTC, end at Sat 2019-11-02 12:50:55 UTC. --
Nov 02 12:30:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:30:06.068751 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000504-0000000002589f54.wal is created
Nov 02 12:30:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:30:35.210066 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/00000000000004ff-0000000002564340.wal successfully
Nov 02 12:31:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:27.400234 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (226.699079ms) to execute
Nov 02 12:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:28.638043 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (777.904893ms) to execute
Nov 02 12:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:31.420237 W | wal: sync duration of 1.006723809s, expected less than 1s
Nov 02 12:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:31.420467 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (184.352946ms) to execute
Nov 02 12:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:31.420485 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (436.282547ms) to execute
Nov 02 12:31:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:45.702367 I | mvcc: store.index: compact 35652719
Nov 02 12:31:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:45.711195 I | mvcc: finished scheduled compaction at 35652719 (took 7.091225ms)
Nov 02 12:31:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:46.053638 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (204.521253ms) to execute
Nov 02 12:31:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:46.053815 W | etcdserver: request "header:<ID:14919139277658264525 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35654371 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (149.272151ms) to execute
Nov 02 12:31:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:31:51.909485 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (349.592087ms) to execute
Nov 02 12:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:12.869985 W | wal: sync duration of 1.275274785s, expected less than 1s
Nov 02 12:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:12.870319 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (875.685577ms) to execute
Nov 02 12:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:15.019219 W | wal: sync duration of 1.41693135s, expected less than 1s
Nov 02 12:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:15.021855 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (239.682478ms) to execute
Nov 02 12:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:15.021887 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (139.79219ms) to execute
Nov 02 12:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:15.022078 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.104789648s) to execute
Nov 02 12:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:15.739573 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (571.505834ms) to execute
Nov 02 12:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:15.739615 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (133.226717ms) to execute
Nov 02 12:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:15.739694 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" " with result "range_response_count:6 size:30704" took too long (712.82874ms) to execute
Nov 02 12:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:15.740036 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (133.697118ms) to execute
Nov 02 12:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:15.740101 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (367.88571ms) to execute
Nov 02 12:32:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:17.705613 W | wal: sync duration of 1.568577079s, expected less than 1s
Nov 02 12:32:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:17.705946 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (1.436862631s) to execute
Nov 02 12:32:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:17.712953 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (680.311317ms) to execute
Nov 02 12:32:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:17.713046 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (181.482711ms) to execute
Nov 02 12:32:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:19.695329 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (241.729585ms) to execute
Nov 02 12:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:39.045558 W | wal: sync duration of 1.299671638s, expected less than 1s
Nov 02 12:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:32:39.045816 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (1.297770238s) to execute
